3gram,frequency
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",3527
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",1122
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",493
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",395
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet')",389
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",257
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_classes')",180
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",180
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",144
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",93
"('get_covered_packages', 'get_code_snippet', 'get_code_snippet')",93
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet')",91
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_covered_packages')",80
"('get_covered_packages', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",74
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",73
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet')",71
"('get_failing_tests_covered_classes', 'get_covered_packages', 'get_failing_tests_covered_classes')",67
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",64
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",64
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",62
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",60
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",54
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",52
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",49
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",48
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",40
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",38
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",34
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",25
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_code_snippet')",24
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",23
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",18
"('get_covered_packages', 'get_code_snippet', 'get_failing_tests_covered_classes')",18
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",15
"('get_failing_tests_covered_classes', 'get_covered_packages', 'get_failing_tests_covered_methods_for_class')",15
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",14
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",10
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_covered_packages')",10
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_covered_packages')",8
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_covered_packages')",6
"('get_covered_packages', 'get_covered_packages', 'get_covered_packages')",5
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_covered_packages')",5
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",5
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",5
"('get_failing_tests_covered_classes', 'get_covered_packages', 'get_code_snippet')",5
"('get_covered_packages', 'get_covered_packages', 'get_failing_tests_covered_classes')",4
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_covered_packages')",3
"('get_code_snippet', 'get_covered_packages', 'get_code_snippet')",3
"('get_failing_tests_covered_methods_for_class', 'get_covered_packages', 'get_failing_tests_covered_classes')",3
"('get_failing_tests_covered_methods_for_class', 'get_covered_packages', 'get_code_snippet')",3
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_packages')",3
"('get_code_snippet', 'get_covered_packages', 'get_failing_tests_covered_classes')",3
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_covered_packages')",2
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_covered_classes')",2
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_covered_packages')",1
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_packages')",1
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_covered_methods')",1
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_covered_classes')",1
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_covered_methods_for_class')",1
"('get_code_snippet', 'get_code_snippet', 'get_covered_packages')",1
