3gram,frequency
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",2707
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet')",1029
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",844
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",631
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",610
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet')",520
"('get_code_snippet', 'get_comments', 'get_code_snippet')",495
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments')",441
"('get_code_snippet', 'get_code_snippet', 'get_comments')",426
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments')",405
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",361
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",324
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet')",302
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",232
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",229
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",203
"('get_comments', 'get_code_snippet', 'get_code_snippet')",175
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",156
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",151
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",150
"('get_comments', 'get_code_snippet', 'get_comments')",147
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",122
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",120
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",93
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class')",83
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",81
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",79
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",71
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes')",69
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",68
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes')",68
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments')",66
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",54
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_comments')",51
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",50
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",41
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_comments')",39
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class')",38
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",37
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_classes')",37
"('get_comments', 'get_comments', 'get_code_snippet')",35
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet')",31
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",28
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_comments')",25
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",24
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_classes')",22
"('get_failing_tests_covered_classes', 'get_comments', 'get_code_snippet')",21
"('get_code_snippet', 'get_comments', 'get_comments')",16
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",16
"('get_comments', 'get_failing_tests_covered_classes', 'get_code_snippet')",13
"('get_comments', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",11
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",9
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_comments')",9
"('get_comments', 'get_comments', 'get_comments')",9
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",8
"('get_comments', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",7
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_comments')",6
"('get_failing_tests_covered_classes', 'get_comments', 'get_failing_tests_covered_classes')",4
"('get_failing_tests_covered_classes', 'get_comments', 'get_comments')",4
"('get_comments', 'get_failing_tests_covered_classes', 'get_comments')",4
"('get_failing_tests_covered_classes', 'get_comments', 'get_failing_tests_covered_methods_for_class')",2
"('get_comments', 'get_comments', 'get_failing_tests_covered_methods_for_class')",2
"('get_comments', 'get_comments', 'get_failing_tests_covered_classes')",2
