3gram,frequency
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass')",1645
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_code_snippet_fail')",756
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail')",530
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail')",444
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass', 'get_comments_pass')",427
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass')",397
"('get_failing_tests_covered_classes_pass', 'get_code_snippet_pass', 'get_comments_pass')",374
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail', 'get_code_snippet_fail')",321
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail')",308
"('get_code_snippet_fail', 'get_comments_fail', 'get_code_snippet_fail')",282
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_comments_pass')",257
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_comments_fail')",249
"('get_failing_tests_covered_classes_pass', 'get_code_snippet_fail', 'get_code_snippet_fail')",235
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass', 'get_code_snippet_pass')",201
"('get_failing_tests_covered_classes_pass', 'get_code_snippet_pass', 'get_code_snippet_pass')",197
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_classes_pass')",184
"('get_failing_tests_covered_methods_for_class_pass', 'get_comments_pass', 'get_code_snippet_pass')",178
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_classes_pass')",144
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass')",138
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail')",137
"('get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail')",135
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_fail')",135
"('get_code_snippet_pass', 'get_comments_pass', 'get_code_snippet_pass')",133
"('get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass', 'get_comments_pass')",117
"('get_comments_fail', 'get_code_snippet_fail', 'get_comments_fail')",113
"('get_comments_fail', 'get_code_snippet_fail', 'get_code_snippet_fail')",103
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_pass')",103
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_pass')",101
"('get_code_snippet_pass', 'get_code_snippet_pass', 'get_code_snippet_pass')",100
