3gram,frequency
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",882
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet')",447
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",361
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",332
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments')",306
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet')",242
"('get_code_snippet', 'get_comments', 'get_code_snippet')",230
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",227
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",189
"('get_code_snippet', 'get_code_snippet', 'get_comments')",174
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",168
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",161
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",133
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",127
"('get_comments', 'get_code_snippet', 'get_comments')",123
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",114
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",114
"('get_comments', 'get_code_snippet', 'get_code_snippet')",97
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",84
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",68
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",67
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",65
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",51
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",45
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",44
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",43
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments')",41
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes')",39
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet')",39
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_comments')",38
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_comments')",38
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes')",38
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class')",34
"('get_comments', 'get_comments', 'get_code_snippet')",31
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",31
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",28
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",27
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class')",25
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments')",24
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",19
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_classes')",16
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_classes')",15
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",15
"('get_failing_tests_covered_classes', 'get_comments', 'get_code_snippet')",15
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_comments')",14
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",13
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",12
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet')",10
"('get_code_snippet', 'get_comments', 'get_comments')",9
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_comments')",8
"('get_comments', 'get_comments', 'get_comments')",7
"('get_comments', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",6
"('get_comments', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",6
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_comments')",5
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",5
"('get_comments', 'get_failing_tests_covered_classes', 'get_code_snippet')",5
"('get_failing_tests_covered_classes', 'get_comments', 'get_comments')",4
"('get_comments', 'get_failing_tests_covered_classes', 'get_comments')",4
"('get_comments', 'get_comments', 'get_failing_tests_covered_methods_for_class')",2
"('get_comments', 'get_comments', 'get_failing_tests_covered_classes')",2
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",1
"('get_failing_tests_covered_classes', 'get_comments', 'get_failing_tests_covered_classes')",1
