3gram,frequency
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",2245
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",593
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",242
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet')",174
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",149
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_classes')",100
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",100
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",95
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",78
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",61
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_covered_packages')",52
"('get_failing_tests_covered_classes', 'get_covered_packages', 'get_failing_tests_covered_classes')",50
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet')",44
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",39
"('get_covered_packages', 'get_code_snippet', 'get_code_snippet')",35
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",35
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",30
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",30
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet')",29
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",28
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",28
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",28
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",26
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",24
"('get_covered_packages', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",23
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",22
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",18
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",16
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",16
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",15
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",11
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_code_snippet')",11
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",10
"('get_covered_packages', 'get_code_snippet', 'get_failing_tests_covered_classes')",9
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",8
"('get_failing_tests_covered_classes', 'get_covered_packages', 'get_failing_tests_covered_methods_for_class')",8
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",8
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_covered_packages')",6
"('get_covered_packages', 'get_covered_packages', 'get_covered_packages')",5
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_covered_packages')",5
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_covered_packages')",5
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_covered_packages')",4
"('get_covered_packages', 'get_covered_packages', 'get_failing_tests_covered_classes')",3
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_packages')",3
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",2
"('get_failing_tests_covered_methods_for_class', 'get_covered_packages', 'get_failing_tests_covered_classes')",2
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_covered_classes')",2
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_covered_packages')",1
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_covered_packages')",1
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_packages')",1
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",1
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_covered_methods')",1
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_covered_classes')",1
"('get_code_snippet', 'get_covered_packages', 'get_code_snippet')",1
"('get_failing_tests_covered_methods_for_class', 'get_covered_packages', 'get_code_snippet')",1
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_covered_methods_for_class')",1
"('get_code_snippet', 'get_code_snippet', 'get_covered_packages')",1
"('get_code_snippet', 'get_covered_packages', 'get_failing_tests_covered_classes')",1
"('get_failing_tests_covered_classes', 'get_covered_packages', 'get_code_snippet')",1
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_covered_packages')",1
