3gram,frequency
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",410
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",127
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet')",83
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",81
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",80
"('get_covered_packages', 'get_code_snippet', 'get_code_snippet')",64
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",44
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",41
"('get_covered_packages', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",33
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",31
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",26
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",15
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",6
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",6
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",6
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",5
"('get_covered_packages', 'get_covered_packages', 'get_covered_packages')",4
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",3
"('get_covered_packages', 'get_covered_packages', 'get_failing_tests_covered_classes')",3
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_covered_packages')",2
"('get_failing_tests_covered_classes', 'get_covered_packages', 'get_failing_tests_covered_classes')",2
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_code_snippet')",2
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",1
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet')",1
"('get_covered_packages', 'get_covered_packages', 'get_code_snippet')",1
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",1
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",1
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_covered_packages')",1
"('get_code_snippet', 'get_covered_packages', 'get_code_snippet')",1
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",1
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",1
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_covered_packages')",1
"('get_failing_tests_covered_methods_for_class', 'get_covered_packages', 'get_failing_tests_covered_methods_for_class')",1
"('get_covered_packages', 'get_covered_packages', 'get_failing_tests_covered_methods_for_class')",1
