3gram,frequency
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",436
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",100
"('get_covered_packages', 'get_code_snippet', 'get_code_snippet')",70
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",70
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",63
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet')",51
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",51
"('get_covered_packages', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",38
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",29
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",20
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",16
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",9
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",6
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",6
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",6
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",4
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",4
"('get_covered_packages', 'get_covered_packages', 'get_covered_packages')",3
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_covered_packages')",1
"('get_failing_tests_covered_classes', 'get_covered_packages', 'get_code_snippet')",1
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_covered_packages')",1
"('get_code_snippet', 'get_covered_packages', 'get_failing_tests_covered_classes')",1
"('get_covered_packages', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",1
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",1
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet')",1
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",1
"('get_covered_packages', 'get_failing_tests_covered_classes', 'get_code_snippet')",1
"('get_covered_packages', 'get_covered_packages', 'get_code_snippet')",1
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",1
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",1
"('get_covered_packages', 'get_covered_packages', 'get_failing_tests_covered_methods_for_class')",1
