3gram,frequency
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",537
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet')",227
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments')",195
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",193
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet')",152
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",148
"('get_code_snippet', 'get_comments', 'get_code_snippet')",132
"('get_code_snippet', 'get_code_snippet', 'get_comments')",101
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",71
"('get_comments', 'get_code_snippet', 'get_comments')",70
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",63
"('get_comments', 'get_code_snippet', 'get_code_snippet')",57
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",54
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",49
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",35
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",26
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",26
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_comments')",23
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments')",22
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",19
"('get_comments', 'get_comments', 'get_code_snippet')",19
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes')",18
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_comments')",17
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",16
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",16
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",16
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet')",16
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes')",15
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",14
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",14
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments')",14
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class')",12
"('get_failing_tests_covered_classes', 'get_comments', 'get_code_snippet')",11
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_comments')",11
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",8
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_classes')",7
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",6
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",6
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",6
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",6
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class')",5
"('get_code_snippet', 'get_comments', 'get_comments')",5
"('get_comments', 'get_comments', 'get_comments')",5
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",4
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_classes')",4
"('get_comments', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",3
"('get_comments', 'get_failing_tests_covered_classes', 'get_code_snippet')",3
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_comments')",3
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",2
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",2
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet')",2
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_comments')",2
"('get_failing_tests_covered_classes', 'get_comments', 'get_comments')",2
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",2
"('get_comments', 'get_failing_tests_covered_classes', 'get_comments')",1
"('get_comments', 'get_comments', 'get_failing_tests_covered_methods_for_class')",1
"('get_failing_tests_covered_classes', 'get_comments', 'get_failing_tests_covered_classes')",1
"('get_comments', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",1
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",1
