3gram,frequency
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",247
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments')",139
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet')",125
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet')",92
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",41
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",39
"('get_code_snippet', 'get_comments', 'get_code_snippet')",34
"('get_code_snippet', 'get_code_snippet', 'get_comments')",32
"('get_comments', 'get_code_snippet', 'get_code_snippet')",16
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",14
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",8
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",6
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet')",6
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments')",3
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",3
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",3
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",2
"('get_code_snippet', 'get_comments', 'get_comments')",2
"('get_comments', 'get_comments', 'get_code_snippet')",2
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",2
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class')",2
"('get_failing_tests_covered_classes', 'get_comments', 'get_code_snippet')",1
"('get_comments', 'get_code_snippet', 'get_comments')",1
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_comments')",1
"('get_comments', 'get_comments', 'get_comments')",1
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments')",1
"('get_failing_tests_covered_classes', 'get_comments', 'get_failing_tests_covered_methods_for_class')",1
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet')",1
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",1
