3gram,frequency
"('list_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid')",582
"('list_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid')",576
"('list_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'list_freed_variables()_valid')",547
"('check_pattern(buffer_overflow)_valid', 'list_variables()_valid', 'check_pattern(null_deref)_valid')",535
"('check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid')",530
"('check_pattern(buffer_overflow)_valid', 'list_variables()_valid', 'check_pattern(use_after_free)_valid')",528
"('check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid')",514
"('check_pattern(buffer_overflow)_valid', 'summarize_code()_valid', 'list_variables()_valid')",441
"('list_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'summarize_code()_valid')",389
"('list_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'list_functions()_valid')",379
"('list_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'list_variables()_valid')",361
"('check_pattern(buffer_overflow)_valid', 'list_variables()_valid', 'list_freed_variables()_valid')",338
"('list_variables()_valid', 'check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid')",337
"('list_freed_variables()_valid', 'list_functions()_valid', 'list_null_assigned_variables()_valid')",323
"('list_variables()_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid')",320
"('list_variables()_valid', 'list_freed_variables()_valid', 'list_functions()_valid')",298
"('list_variables()_valid', 'list_functions()_valid', 'check_pattern(buffer_overflow)_valid')",281
"('check_pattern(buffer_overflow)_valid', 'list_variables()_valid', 'list_functions()_valid')",271
"('check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid', 'list_variables()_valid')",263
"('check_pattern(buffer_overflow)_valid', 'list_variables()_valid', 'summarize_code()_valid')",259
"('summarize_code()_valid', 'list_variables()_valid', 'list_functions()_valid')",248
"('check_pattern(buffer_overflow)_valid', 'list_variables()_valid', 'list_variables()_valid')",245
"('list_variables()_valid', 'list_functions()_valid', 'list_null_assigned_variables()_valid')",238
"('list_variables()_valid', 'list_freed_variables()_valid', 'check_pattern(buffer_overflow)_valid')",237
"('list_variables()_valid', 'list_variables()_valid', 'list_variables()_valid')",230
"('check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid', 'list_variables()_valid')",215
