3gram,frequency
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",643
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",481
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",479
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",354
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()')",347
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",265
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",220
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'summarize_code()')",191
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",189
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",179
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",164
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",155
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'summarize_code()')",144
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",140
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_variables()')",136
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'summarize_code()')",135
"('check_pattern(null_deref)', 'summarize_code()', 'check_pattern(use_after_free)')",108
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'list_variables()')",102
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",102
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'summarize_code()')",91
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_variables()')",90
"('summarize_code()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",90
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_variables()')",88
"('check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(null_deref)')",79
"('summarize_code()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",77
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)')",70
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_variables()')",69
"('check_pattern(null_deref)', 'list_variables()', 'check_pattern(use_after_free)')",68
