3gram,frequency
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",15191
"('list_variables()', 'list_variables()', 'list_variables()')",4229
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",3374
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",2046
"('list_variables()', 'list_functions()', 'check_pattern(buffer_overflow)')",1422
"('summarize_code()', 'summarize_code()', 'summarize_code()')",1059
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()')",1027
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_functions()')",1010
"('check_pattern(buffer_overflow)', 'list_functions()', 'check_pattern(buffer_overflow)')",897
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",858
"('list_variables()', 'list_variables()', 'check_pattern(buffer_overflow)')",853
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(buffer_overflow)')",851
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_variables()')",832
"('list_variables()', 'list_functions()', 'check_pattern(use_after_free)')",773
"('list_functions()', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",733
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_variables()')",711
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_functions()')",670
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",624
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",548
"('list_freed_variables()', 'check_pattern(null_deref)', 'summarize_code()')",543
"('check_pattern(null_deref)', 'summarize_code()', 'summarize_code()')",513
"('list_variables()', 'list_variables()', 'list_functions()')",484
"('list_null_assigned_variables()', 'list_freed_variables()', 'summarize_code()')",469
"('list_freed_variables()', 'summarize_code()', 'summarize_code()')",463
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",458
"('check_pattern(buffer_overflow)', 'list_functions()', 'check_pattern(use_after_free)')",442
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",440
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",435
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'list_freed_variables()')",429
"('list_null_assigned_variables()', 'list_freed_variables()', 'check_pattern(null_deref)')",413
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_null_assigned_variables()')",407
"('list_functions()', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",402
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",384
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",383
"('check_pattern(null_deref)', 'list_freed_variables()', 'summarize_code()')",382
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_null_assigned_variables()')",380
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",373
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'list_freed_variables()')",363
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'list_freed_variables()')",361
"('summarize_code()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",338
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",333
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",319
"('list_functions()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",318
"('list_null_assigned_variables()', 'summarize_code()', 'list_freed_variables()')",312
"('list_freed_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",295
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'summarize_code()')",294
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",287
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_freed_variables()')",283
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'summarize_code()')",278
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",273
"('summarize_code()', 'list_variables()', 'list_variables()')",271
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_null_assigned_variables()')",270
"('list_variables()', 'check_pattern(use_after_free)', 'list_functions()')",265
"('list_functions()', 'check_pattern(use_after_free)', 'list_null_assigned_variables()')",265
"('check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(buffer_overflow)')",256
"('check_pattern(use_after_free)', 'list_variables()', 'list_variables()')",250
"('check_pattern(buffer_overflow)', 'list_functions()', 'list_null_assigned_variables()')",248
"('list_variables()', 'check_pattern(use_after_free)', 'list_variables()')",247
"('check_pattern(buffer_overflow)', 'list_freed_variables()', 'check_pattern(buffer_overflow)')",247
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'summarize_code()')",239
"('list_variables()', 'list_variables()', 'check_pattern(use_after_free)')",231
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",226
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_functions()')",218
"('list_freed_variables()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",215
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",213
"('check_pattern(use_after_free)', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",202
"('check_pattern(use_after_free)', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",201
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",201
"('list_variables()', 'list_functions()', 'list_freed_variables()')",199
"('list_null_assigned_variables()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",193
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",188
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",186
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_functions()')",182
"('check_pattern(use_after_free)', 'list_functions()', 'check_pattern(buffer_overflow)')",175
"('list_null_assigned_variables()', 'check_pattern(use_after_free)', 'list_freed_variables()')",172
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'summarize_code()')",171
"('list_functions()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",169
"('check_pattern(use_after_free)', 'list_null_assigned_variables()', 'list_freed_variables()')",168
"('list_functions()', 'check_pattern(use_after_free)', 'list_freed_variables()')",165
"('check_pattern(use_after_free)', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",163
"('check_pattern(use_after_free)', 'list_functions()', 'check_pattern(use_after_free)')",159
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",155
"('list_functions()', 'list_freed_variables()', 'list_null_assigned_variables()')",155
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",153
"('check_pattern(null_deref)', 'summarize_code()', 'list_freed_variables()')",150
"('list_variables()', 'list_functions()', 'list_variables()')",148
"('list_variables()', 'summarize_code()', 'list_variables()')",147
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",144
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(use_after_free)')",144
"('summarize_code()', 'check_pattern(buffer_overflow)', 'summarize_code()')",144
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'list_freed_variables()')",143
"('check_pattern(use_after_free)', 'list_freed_variables()', 'check_pattern(use_after_free)')",143
"('summarize_code()', 'summarize_code()', 'check_pattern(buffer_overflow)')",143
"('check_pattern(buffer_overflow)', 'list_freed_variables()', 'check_pattern(null_deref)')",142
"('check_pattern(use_after_free)', 'summarize_code()', 'summarize_code()')",142
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_functions()')",140
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()')",138
"('list_null_assigned_variables()', 'check_pattern(use_after_free)', 'summarize_code()')",138
"('check_pattern(use_after_free)', 'list_freed_variables()', 'check_pattern(null_deref)')",138
"('list_null_assigned_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",136
"('summarize_code()', 'summarize_code()', 'list_variables()')",136
"('check_pattern(buffer_overflow)', 'summarize_code()', 'summarize_code()')",135
"('list_freed_variables()', 'list_null_assigned_variables()', 'summarize_code()')",134
"('list_null_assigned_variables()', 'summarize_code()', 'summarize_code()')",133
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'list_null_assigned_variables()')",133
"('check_pattern(null_deref)', 'summarize_code()', 'check_pattern(use_after_free)')",130
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'summarize_code()')",128
"('list_functions()', 'summarize_code()', 'summarize_code()')",128
"('check_pattern(null_deref)', 'list_variables()', 'list_variables()')",124
"('check_pattern(buffer_overflow)', 'list_freed_variables()', 'list_null_assigned_variables()')",122
"('list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",122
"('list_variables()', 'list_functions()', 'list_null_assigned_variables()')",120
"('summarize_code()', 'check_pattern(null_deref)', 'summarize_code()')",119
"('check_pattern(use_after_free)', 'list_freed_variables()', 'list_null_assigned_variables()')",119
"('list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",118
"('check_pattern(use_after_free)', 'list_freed_variables()', 'summarize_code()')",116
"('check_pattern(use_after_free)', 'list_variables()', 'check_pattern(use_after_free)')",116
"('list_variables()', 'list_functions()', 'summarize_code()')",116
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'list_freed_variables()')",115
"('list_freed_variables()', 'summarize_code()', 'check_pattern(null_deref)')",114
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_variables()')",114
"('check_pattern(buffer_overflow)', 'list_functions()', 'summarize_code()')",112
"('list_freed_variables()', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",112
"('check_pattern(use_after_free)', 'list_null_assigned_variables()', 'summarize_code()')",108
"('list_functions()', 'summarize_code()', 'check_pattern(buffer_overflow)')",108
"('check_pattern(use_after_free)', 'list_functions()', 'list_null_assigned_variables()')",108
"('summarize_code()', 'check_pattern(use_after_free)', 'summarize_code()')",106
"('summarize_code()', 'list_variables()', 'summarize_code()')",106
"('list_freed_variables()', 'summarize_code()', 'check_pattern(use_after_free)')",104
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'summarize_code()')",104
"('list_null_assigned_variables()', 'summarize_code()', 'check_pattern(buffer_overflow)')",103
"('list_variables()', 'list_freed_variables()', 'check_pattern(use_after_free)')",103
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'list_variables()')",102
"('list_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()')",101
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'list_functions()')",98
"('list_variables()', 'list_variables()', 'summarize_code()')",97
"('list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",97
"('list_functions()', 'check_pattern(buffer_overflow)', 'summarize_code()')",96
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_functions()')",95
"('check_pattern(buffer_overflow)', 'list_functions()', 'list_functions()')",94
"('list_functions()', 'list_variables()', 'check_pattern(buffer_overflow)')",94
"('summarize_code()', 'list_freed_variables()', 'check_pattern(use_after_free)')",94
"('list_freed_variables()', 'check_pattern(use_after_free)', 'summarize_code()')",94
"('list_functions()', 'list_freed_variables()', 'check_pattern(use_after_free)')",94
"('list_functions()', 'list_variables()', 'list_variables()')",92
"('list_null_assigned_variables()', 'summarize_code()', 'check_pattern(null_deref)')",92
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_freed_variables()')",91
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_freed_variables()')",90
"('summarize_code()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",90
"('summarize_code()', 'summarize_code()', 'check_pattern(use_after_free)')",89
"('list_functions()', 'list_null_assigned_variables()', 'summarize_code()')",89
"('summarize_code()', 'list_freed_variables()', 'check_pattern(null_deref)')",89
"('list_variables()', 'list_variables()', 'list_freed_variables()')",89
"('list_null_assigned_variables()', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",88
"('list_variables()', 'list_freed_variables()', 'check_pattern(buffer_overflow)')",87
"('list_functions()', 'list_null_assigned_variables()', 'list_freed_variables()')",86
"('list_functions()', 'check_pattern(buffer_overflow)', 'list_freed_variables()')",86
"('list_functions()', 'list_functions()', 'check_pattern(buffer_overflow)')",86
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",85
"('summarize_code()', 'list_variables()', 'list_functions()')",84
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",83
"('summarize_code()', 'list_variables()', 'check_pattern(buffer_overflow)')",83
"('list_null_assigned_variables()', 'list_freed_variables()', 'check_pattern(use_after_free)')",82
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()')",82
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",82
"('check_pattern(use_after_free)', 'list_variables()', 'check_pattern(buffer_overflow)')",80
"('check_pattern(buffer_overflow)', 'list_functions()', 'list_freed_variables()')",79
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",79
"('list_null_assigned_variables()', 'summarize_code()', 'check_pattern(use_after_free)')",78
"('list_freed_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",78
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_variables()')",78
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()')",75
"('list_functions()', 'check_pattern(buffer_overflow)', 'list_variables()')",75
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_variables()')",74
"('list_null_assigned_variables()', 'list_freed_variables()', 'check_pattern(buffer_overflow)')",73
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",73
"('summarize_code()', 'summarize_code()', 'list_functions()')",72
"('list_variables()', 'summarize_code()', 'list_functions()')",72
"('list_variables()', 'summarize_code()', 'summarize_code()')",71
"('list_functions()', 'list_freed_variables()', 'check_pattern(buffer_overflow)')",71
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",71
"('check_pattern(use_after_free)', 'summarize_code()', 'list_freed_variables()')",71
"('summarize_code()', 'list_functions()', 'summarize_code()')",71
