3gram,frequency
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",383
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",281
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",272
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()')",188
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",170
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",136
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",123
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'summarize_code()')",105
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",99
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",96
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_variables()')",80
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",77
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'summarize_code()')",75
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'summarize_code()')",71
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",69
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'list_variables()')",66
"('check_pattern(null_deref)', 'summarize_code()', 'check_pattern(use_after_free)')",59
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",58
"('summarize_code()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",54
"('summarize_code()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",50
"('check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(null_deref)')",50
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'summarize_code()')",50
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_variables()')",46
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_variables()')",44
"('check_pattern(null_deref)', 'list_variables()', 'check_pattern(use_after_free)')",42
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",40
"('summarize_code()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",39
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)')",38
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_variables()')",38
"('check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(use_after_free)')",36
"('check_pattern(use_after_free)', 'list_variables()', 'check_pattern(null_deref)')",35
"('list_variables()', 'summarize_code()', 'check_pattern(null_deref)')",34
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",30
"('list_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()')",29
"('summarize_code()', 'list_variables()', 'check_pattern(null_deref)')",28
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",27
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_variables()')",26
"('check_pattern(use_after_free)', 'summarize_code()', 'check_pattern(null_deref)')",24
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",24
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(use_after_free)')",24
"('list_variables()', 'check_pattern(null_deref)', 'summarize_code()')",23
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()')",22
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",22
"('summarize_code()', 'list_variables()', 'check_pattern(buffer_overflow)')",21
"('summarize_code()', 'check_pattern(null_deref)', 'list_variables()')",21
"('check_pattern(buffer_overflow)', 'list_variables()', 'summarize_code()')",21
"('check_pattern(null_deref)', 'list_variables()', 'summarize_code()')",20
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",19
"('check_pattern(null_deref)', 'summarize_code()', 'list_variables()')",18
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'summarize_code()')",16
"('check_pattern(use_after_free)', 'summarize_code()', 'list_variables()')",15
"('summarize_code()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",15
"('check_pattern(use_after_free)', 'summarize_code()', 'check_pattern(buffer_overflow)')",15
"('summarize_code()', 'check_pattern(use_after_free)', 'list_variables()')",13
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",13
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",13
"('summarize_code()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",13
"('check_pattern(use_after_free)', 'list_variables()', 'check_pattern(buffer_overflow)')",12
"('check_pattern(null_deref)', 'list_variables()', 'check_pattern(buffer_overflow)')",12
"('list_variables()', 'check_pattern(use_after_free)', 'summarize_code()')",12
"('summarize_code()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",11
"('list_variables()', 'summarize_code()', 'check_pattern(use_after_free)')",11
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",11
"('summarize_code()', 'check_pattern(buffer_overflow)', 'list_variables()')",9
"('check_pattern(use_after_free)', 'summarize_code()', 'check_pattern(use_after_free)')",8
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",8
"('summarize_code()', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",7
"('list_variables()', 'list_freed_variables()', 'check_pattern(use_after_free)')",7
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",7
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",6
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'list_variables()')",6
"('summarize_code()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",6
"('list_null_assigned_variables()', 'list_variables()', 'check_pattern(null_deref)')",6
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_functions()')",6
"('list_variables()', 'summarize_code()', 'check_pattern(buffer_overflow)')",5
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_null_assigned_variables()')",5
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'summarize_code()')",5
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",5
"('check_pattern(use_after_free)', 'list_variables()', 'list_freed_variables()')",5
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_null_assigned_variables()')",5
"('summarize_code()', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",5
"('check_pattern(null_deref)', 'summarize_code()', 'check_pattern(buffer_overflow)')",4
"('list_freed_variables()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",4
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",4
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",4
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",4
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'list_functions()')",4
"('summarize_code()', 'check_pattern(null_deref)', 'list_functions()')",4
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_null_assigned_variables()')",4
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'list_variables()')",4
"('summarize_code()', 'list_variables()', 'check_pattern(use_after_free)')",4
"('check_pattern(use_after_free)', 'list_variables()', 'check_pattern(use_after_free)')",4
"('check_pattern(null_deref)', 'list_variables()', 'list_null_assigned_variables()')",4
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",4
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",3
"('check_pattern(use_after_free)', 'list_variables()', 'list_null_assigned_variables()')",3
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",3
"('check_pattern(null_deref)', 'summarize_code()', 'list_null_assigned_variables()')",3
"('list_variables()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",3
"('check_pattern(use_after_free)', 'list_variables()', 'summarize_code()')",3
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",3
"('summarize_code()', 'list_variables()', 'list_functions()')",3
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'list_variables()')",3
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",3
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_functions()')",3
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_functions()')",2
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_null_assigned_variables()')",2
"('list_variables()', 'check_pattern(null_deref)', 'list_null_assigned_variables()')",2
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",2
"('list_variables()', 'list_functions()', 'check_pattern(use_after_free)')",2
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",2
"('list_variables()', 'list_freed_variables()', 'summarize_code()')",2
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'summarize_code()')",2
"('summarize_code()', 'check_pattern(use_after_free)', 'list_functions()')",2
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_functions()')",2
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_null_assigned_variables()')",2
"('check_pattern(null_deref)', 'list_functions()', 'list_freed_variables()')",2
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_functions()')",2
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_variables()')",2
"('summarize_code()', 'check_pattern(buffer_overflow)', 'list_functions()')",2
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",2
"('list_freed_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",2
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",2
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",2
"('list_freed_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",2
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'list_variables()')",2
"('check_pattern(use_after_free)', 'list_functions()', 'list_null_assigned_variables()')",2
"('check_pattern(use_after_free)', 'list_freed_variables()', 'check_pattern(null_deref)')",2
"('check_pattern(null_deref)', 'list_functions()', 'check_pattern(use_after_free)')",2
