3gram,frequency
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()')",842
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",650
"('summarize_code()', 'list_variables()', 'list_functions()')",572
"('list_functions()', 'list_freed_variables()', 'list_null_assigned_variables()')",525
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",512
"('list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",456
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)')",453
"('summarize_code()', 'list_variables()', 'list_variables()')",433
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",418
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()')",413
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",394
"('check_pattern(null_deref)', 'summarize_code()', 'list_variables()')",391
"('list_variables()', 'list_variables()', 'list_variables()')",371
"('summarize_code()', 'list_variables()', 'list_freed_variables()')",368
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",367
"('list_variables()', 'list_functions()', 'list_freed_variables()')",366
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(buffer_overflow)')",350
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",343
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",341
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",337
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",324
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_variables()')",320
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",319
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_functions()')",310
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",310
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",309
"('check_pattern(buffer_overflow)', 'list_variables()', 'summarize_code()')",304
"('list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()')",304
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",298
"('list_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()')",292
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'summarize_code()')",281
"('list_variables()', 'list_functions()', 'list_null_assigned_variables()')",277
"('list_variables()', 'list_variables()', 'list_functions()')",276
"('summarize_code()', 'list_functions()', 'list_freed_variables()')",275
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_variables()')",272
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",261
"('check_pattern(use_after_free)', 'list_freed_variables()', 'list_null_assigned_variables()')",251
"('list_variables()', 'list_freed_variables()', 'list_functions()')",247
"('list_variables()', 'summarize_code()', 'list_functions()')",245
"('list_variables()', 'list_functions()', 'check_pattern(null_deref)')",232
"('list_variables()', 'list_freed_variables()', 'list_null_assigned_variables()')",224
"('summarize_code()', 'list_functions()', 'list_null_assigned_variables()')",223
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()')",221
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",217
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",212
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'summarize_code()')",211
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",205
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_variables()')",205
"('list_variables()', 'list_variables()', 'list_freed_variables()')",202
"('list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",201
"('list_variables()', 'check_pattern(null_deref)', 'summarize_code()')",199
"('check_pattern(null_deref)', 'summarize_code()', 'list_functions()')",196
"('check_pattern(null_deref)', 'list_freed_variables()', 'list_null_assigned_variables()')",192
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",182
"('summarize_code()', 'list_functions()', 'list_variables()')",179
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",175
"('list_variables()', 'summarize_code()', 'list_variables()')",173
"('summarize_code()', 'list_freed_variables()', 'list_null_assigned_variables()')",170
"('summarize_code()', 'list_variables()', 'check_pattern(null_deref)')",170
"('list_functions()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",166
"('list_functions()', 'check_pattern(null_deref)', 'list_freed_variables()')",166
"('summarize_code()', 'list_freed_variables()', 'list_functions()')",163
"('list_functions()', 'list_null_assigned_variables()', 'list_freed_variables()')",162
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",154
