3gram,frequency
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",6886
"('list_variables()', 'list_variables()', 'list_variables()')",1952
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",1628
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",918
"('list_variables()', 'list_functions()', 'check_pattern(buffer_overflow)')",747
"('summarize_code()', 'summarize_code()', 'summarize_code()')",583
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()')",468
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_functions()')",468
"('list_variables()', 'list_variables()', 'check_pattern(buffer_overflow)')",403
"('list_variables()', 'list_functions()', 'check_pattern(use_after_free)')",399
"('check_pattern(buffer_overflow)', 'list_functions()', 'check_pattern(buffer_overflow)')",398
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_variables()')",396
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",393
"('list_functions()', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",367
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(buffer_overflow)')",359
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_variables()')",319
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",305
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_functions()')",303
"('list_freed_variables()', 'check_pattern(null_deref)', 'summarize_code()')",276
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",265
"('check_pattern(null_deref)', 'summarize_code()', 'summarize_code()')",255
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",244
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",233
"('list_null_assigned_variables()', 'list_freed_variables()', 'check_pattern(null_deref)')",230
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'list_freed_variables()')",229
"('list_variables()', 'list_variables()', 'list_functions()')",226
"('list_null_assigned_variables()', 'list_freed_variables()', 'summarize_code()')",221
"('list_freed_variables()', 'summarize_code()', 'summarize_code()')",216
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_null_assigned_variables()')",211
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_null_assigned_variables()')",210
"('check_pattern(buffer_overflow)', 'list_functions()', 'check_pattern(use_after_free)')",210
"('list_functions()', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",208
"('check_pattern(null_deref)', 'list_freed_variables()', 'summarize_code()')",207
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",205
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",203
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'list_freed_variables()')",200
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'list_freed_variables()')",186
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",185
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",184
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",167
"('list_null_assigned_variables()', 'summarize_code()', 'list_freed_variables()')",166
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",162
"('summarize_code()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",158
"('list_functions()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",152
