3gram,frequency
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",279
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",268
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(use_after_free)')",267
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_freed_variables()')",247
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",244
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)')",240
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",216
"('list_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()')",180
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()')",180
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()')",171
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_freed_variables()')",166
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",153
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_functions()')",152
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",149
"('list_variables()', 'list_freed_variables()', 'list_functions()')",140
"('list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()')",136
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_variables()')",126
"('list_variables()', 'list_freed_variables()', 'check_pattern(buffer_overflow)')",123
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_functions()')",120
"('list_variables()', 'list_functions()', 'check_pattern(buffer_overflow)')",115
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_variables()')",113
"('list_variables()', 'list_functions()', 'list_null_assigned_variables()')",111
"('list_variables()', 'list_variables()', 'list_variables()')",110
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_variables()')",105
"('check_pattern(buffer_overflow)', 'list_variables()', 'summarize_code()')",99
"('summarize_code()', 'list_variables()', 'list_functions()')",92
"('list_variables()', 'list_variables()', 'check_pattern(buffer_overflow)')",91
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_variables()')",91
"('check_pattern(buffer_overflow)', 'list_freed_variables()', 'list_functions()')",86
"('list_functions()', 'summarize_code()', 'list_null_assigned_variables()')",85
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",84
"('list_freed_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",83
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_freed_variables()')",83
"('check_pattern(use_after_free)', 'list_variables()', 'check_pattern(null_deref)')",82
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",81
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_variables()')",80
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",79
"('list_variables()', 'list_freed_variables()', 'list_null_assigned_variables()')",79
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(buffer_overflow)')",78
"('check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(null_deref)')",78
"('list_functions()', 'list_null_assigned_variables()', 'list_freed_variables()')",78
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_freed_variables()')",76
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",76
"('list_variables()', 'list_variables()', 'list_freed_variables()')",75
"('list_variables()', 'list_variables()', 'list_functions()')",75
"('list_variables()', 'check_pattern(null_deref)', 'list_freed_variables()')",75
"('summarize_code()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",74
"('check_pattern(null_deref)', 'list_freed_variables()', 'check_pattern(use_after_free)')",74
"('check_pattern(null_deref)', 'list_variables()', 'check_pattern(use_after_free)')",72
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",72
"('list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",72
"('list_variables()', 'list_freed_variables()', 'check_pattern(null_deref)')",72
"('list_variables()', 'list_functions()', 'list_freed_variables()')",72
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",71
"('list_variables()', 'check_pattern(use_after_free)', 'list_freed_variables()')",71
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_functions()')",71
"('check_pattern(use_after_free)', 'list_functions()', 'list_null_assigned_variables()')",71
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",69
"('list_functions()', 'list_freed_variables()', 'list_null_assigned_variables()')",67
"('check_pattern(buffer_overflow)', 'list_functions()', 'list_null_assigned_variables()')",67
"('summarize_code()', 'list_functions()', 'list_null_assigned_variables()')",66
"('check_pattern(buffer_overflow)', 'list_functions()', 'check_pattern(null_deref)')",65
"('summarize_code()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",65
"('check_pattern(null_deref)', 'list_freed_variables()', 'list_functions()')",64
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_freed_variables()')",64
"('summarize_code()', 'list_variables()', 'check_pattern(buffer_overflow)')",62
"('list_variables()', 'list_functions()', 'summarize_code()')",62
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()')",61
"('list_variables()', 'list_functions()', 'check_pattern(null_deref)')",61
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_null_assigned_variables()')",60
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'summarize_code()')",60
"('list_freed_variables()', 'check_pattern(buffer_overflow)', 'list_functions()')",59
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_functions()')",58
"('check_pattern(null_deref)', 'list_freed_variables()', 'list_null_assigned_variables()')",58
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",58
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",58
"('list_variables()', 'summarize_code()', 'list_functions()')",58
"('summarize_code()', 'check_pattern(buffer_overflow)', 'list_variables()')",58
"('summarize_code()', 'list_variables()', 'check_pattern(null_deref)')",58
