3gram,frequency
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",8305
"('list_variables()', 'list_variables()', 'list_variables()')",2277
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",1746
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",1128
"('list_variables()', 'list_functions()', 'check_pattern(buffer_overflow)')",675
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()')",559
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_functions()')",542
"('check_pattern(buffer_overflow)', 'list_functions()', 'check_pattern(buffer_overflow)')",499
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(buffer_overflow)')",492
"('summarize_code()', 'summarize_code()', 'summarize_code()')",476
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",465
"('list_variables()', 'list_variables()', 'check_pattern(buffer_overflow)')",450
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_variables()')",436
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_variables()')",392
"('list_variables()', 'list_functions()', 'check_pattern(use_after_free)')",374
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_functions()')",367
"('list_functions()', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",366
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",319
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",283
"('list_freed_variables()', 'check_pattern(null_deref)', 'summarize_code()')",267
"('check_pattern(null_deref)', 'summarize_code()', 'summarize_code()')",258
"('list_variables()', 'list_variables()', 'list_functions()')",258
"('list_null_assigned_variables()', 'list_freed_variables()', 'summarize_code()')",248
"('list_freed_variables()', 'summarize_code()', 'summarize_code()')",247
"('check_pattern(buffer_overflow)', 'list_functions()', 'check_pattern(use_after_free)')",232
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",230
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",214
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",207
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",206
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'list_freed_variables()')",200
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",198
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_null_assigned_variables()')",196
"('list_functions()', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",194
"('list_null_assigned_variables()', 'list_freed_variables()', 'check_pattern(null_deref)')",183
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",181
"('summarize_code()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",180
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'list_freed_variables()')",177
"('check_pattern(null_deref)', 'list_freed_variables()', 'summarize_code()')",175
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_null_assigned_variables()')",170
"('list_functions()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",166
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'list_freed_variables()')",161
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",157
"('list_freed_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",152
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",151
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",149
"('list_null_assigned_variables()', 'summarize_code()', 'list_freed_variables()')",146
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",146
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'summarize_code()')",144
"('check_pattern(use_after_free)', 'list_variables()', 'list_variables()')",138
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'summarize_code()')",138
"('list_functions()', 'check_pattern(use_after_free)', 'list_null_assigned_variables()')",137
