4gram,frequency
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",125
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",122
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",118
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",78
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",72
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet')",70
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",66
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",63
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",62
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",58
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",55
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",49
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet')",45
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",43
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",42
"('get_comments', 'get_code_snippet', 'get_comments', 'get_code_snippet')",33
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_comments')",32
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",31
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",30
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",30
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",27
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_comments')",26
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_comments')",24
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",23
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_code_snippet')",23
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",23
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",23
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",23
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",22
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",21
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet', 'get_comments')",20
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",19
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_code_snippet')",18
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",17
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",16
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",15
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet', 'get_code_snippet')",15
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments')",14
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",14
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",14
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",14
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class')",14
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",13
"('get_comments', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",13
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",13
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",13
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",13
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",13
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",12
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet')",12
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_comments')",12
"('get_comments', 'get_code_snippet', 'get_code_snippet', 'get_comments')",11
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",11
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_comments')",11
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet')",11
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes')",11
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",11
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class')",10
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_comments', 'get_code_snippet')",10
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",10
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes')",9
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",9
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",9
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",8
"('get_comments', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes')",8
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet')",8
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",8
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",8
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_comments')",8
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",8
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes')",8
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",7
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_classes')",7
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes')",7
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",7
"('get_comments', 'get_comments', 'get_code_snippet', 'get_comments')",6
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",6
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments')",6
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet')",6
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_comments')",6
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet')",6
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",6
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",5
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",5
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class')",5
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",5
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class')",5
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_classes')",5
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",5
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",5
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments')",4
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",4
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class')",4
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments')",4
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",4
"('get_comments', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",4
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",4
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",4
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",4
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",4
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",4
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",4
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments')",3
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",3
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class', 'get_comments')",3
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",3
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class', 'get_comments')",3
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_comments')",3
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_comments', 'get_code_snippet')",3
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments')",3
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes', 'get_comments')",3
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",3
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",3
