4gram,frequency
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",129
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",117
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",107
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",105
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_freed_variables()', 'list_functions()')",78
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_variables()', 'check_pattern(null_deref)')",58
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_variables()')",51
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_freed_variables()')",50
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_variables()')",50
"('list_variables()', 'list_freed_variables()', 'check_pattern(buffer_overflow)', 'list_functions()')",47
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_freed_variables()', 'list_functions()')",47
"('list_variables()', 'list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()')",47
"('list_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()', 'list_functions()')",46
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'list_functions()')",46
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_freed_variables()', 'check_pattern(use_after_free)')",46
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)', 'list_freed_variables()')",45
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(use_after_free)', 'list_freed_variables()')",44
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_variables()', 'check_pattern(use_after_free)')",43
"('check_pattern(buffer_overflow)', 'list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()')",39
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()', 'list_freed_variables()')",39
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_variables()')",38
"('list_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(null_deref)')",37
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_freed_variables()')",37
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_freed_variables()', 'check_pattern(null_deref)')",36
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_freed_variables()')",36
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_freed_variables()', 'check_pattern(null_deref)')",36
"('list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",35
"('list_variables()', 'list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",35
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'check_pattern(use_after_free)')",35
"('list_variables()', 'list_functions()', 'list_null_assigned_variables()', 'list_freed_variables()')",35
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_freed_variables()', 'list_null_assigned_variables()')",35
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",34
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'summarize_code()')",34
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_functions()', 'list_null_assigned_variables()')",34
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()', 'list_variables()')",33
"('list_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()', 'list_freed_variables()')",33
"('summarize_code()', 'list_variables()', 'list_functions()', 'list_null_assigned_variables()')",33
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_functions()', 'check_pattern(null_deref)')",33
"('list_variables()', 'list_variables()', 'list_variables()', 'list_variables()')",32
"('list_freed_variables()', 'list_functions()', 'summarize_code()', 'list_null_assigned_variables()')",31
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_freed_variables()')",31
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'check_pattern(null_deref)')",31
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_freed_variables()', 'check_pattern(use_after_free)')",30
"('list_functions()', 'summarize_code()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",30
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",29
"('check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",28
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'summarize_code()')",28
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()')",28
"('check_pattern(buffer_overflow)', 'list_variables()', 'summarize_code()', 'list_functions()')",28
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",28
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_variables()')",27
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)', 'summarize_code()')",27
"('list_variables()', 'list_functions()', 'list_freed_variables()', 'list_null_assigned_variables()')",27
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_functions()', 'summarize_code()')",27
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'summarize_code()')",27
"('list_variables()', 'list_freed_variables()', 'list_functions()', 'summarize_code()')",26
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'list_variables()')",26
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_functions()', 'list_null_assigned_variables()')",26
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)', 'list_variables()')",25
"('list_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(use_after_free)')",25
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_functions()', 'check_pattern(null_deref)')",25
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_functions()', 'list_freed_variables()')",25
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_functions()')",24
"('list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",24
"('check_pattern(null_deref)', 'list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()')",24
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)')",24
"('list_variables()', 'list_freed_variables()', 'list_functions()', 'check_pattern(buffer_overflow)')",24
"('list_freed_variables()', 'check_pattern(buffer_overflow)', 'list_functions()', 'list_null_assigned_variables()')",24
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'list_freed_variables()')",24
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_functions()')",24
"('list_variables()', 'check_pattern(use_after_free)', 'list_freed_variables()', 'check_pattern(null_deref)')",24
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'summarize_code()', 'check_pattern(null_deref)')",24
"('list_variables()', 'list_functions()', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",23
"('list_null_assigned_variables()', 'list_freed_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",23
"('list_variables()', 'list_variables()', 'list_variables()', 'list_functions()')",23
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_variables()')",23
"('list_variables()', 'list_freed_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",23
"('list_variables()', 'list_freed_variables()', 'check_pattern(null_deref)', 'list_functions()')",23
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_functions()')",23
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_functions()', 'check_pattern(use_after_free)')",23
"('list_variables()', 'list_variables()', 'list_variables()', 'list_freed_variables()')",23
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(use_after_free)')",23
"('summarize_code()', 'list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",23
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_functions()', 'check_pattern(null_deref)')",23
"('list_variables()', 'list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",23
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_variables()', 'list_freed_variables()')",22
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_freed_variables()', 'list_null_assigned_variables()')",22
"('check_pattern(buffer_overflow)', 'list_variables()', 'summarize_code()', 'check_pattern(null_deref)')",22
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_functions()', 'list_freed_variables()')",22
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()', 'list_functions()')",22
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'list_freed_variables()', 'check_pattern(use_after_free)')",21
"('list_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()')",21
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_freed_variables()', 'list_functions()')",21
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_functions()', 'check_pattern(use_after_free)')",21
"('list_variables()', 'summarize_code()', 'list_functions()', 'list_null_assigned_variables()')",21
"('list_variables()', 'list_variables()', 'list_functions()', 'list_null_assigned_variables()')",21
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_variables()', 'list_functions()')",21
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_functions()', 'summarize_code()')",21
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_variables()', 'list_variables()')",20
"('list_variables()', 'check_pattern(null_deref)', 'list_freed_variables()', 'check_pattern(use_after_free)')",20
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_variables()', 'list_freed_variables()')",20
"('list_freed_variables()', 'check_pattern(null_deref)', 'list_functions()', 'list_null_assigned_variables()')",20
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'summarize_code()')",20
"('list_variables()', 'list_variables()', 'list_freed_variables()', 'list_functions()')",20
"('list_variables()', 'list_variables()', 'check_pattern(buffer_overflow)', 'list_freed_variables()')",20
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'list_freed_variables()', 'check_pattern(use_after_free)')",20
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_functions()', 'list_null_assigned_variables()')",20
"('list_functions()', 'check_pattern(null_deref)', 'list_null_assigned_variables()', 'list_freed_variables()')",20
"('check_pattern(buffer_overflow)', 'list_functions()', 'summarize_code()', 'check_pattern(null_deref)')",20
"('list_functions()', 'summarize_code()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",20
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_freed_variables()')",20
"('list_freed_variables()', 'check_pattern(null_deref)', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",20
"('list_variables()', 'list_freed_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",20
"('list_variables()', 'check_pattern(null_deref)', 'list_freed_variables()', 'list_functions()')",19
"('summarize_code()', 'list_functions()', 'list_null_assigned_variables()', 'list_freed_variables()')",19
"('list_functions()', 'list_null_assigned_variables()', 'list_freed_variables()', 'check_pattern(null_deref)')",19
"('list_variables()', 'list_functions()', 'check_pattern(buffer_overflow)', 'list_freed_variables()')",19
"('check_pattern(buffer_overflow)', 'list_functions()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",19
"('list_variables()', 'list_functions()', 'check_pattern(null_deref)', 'list_null_assigned_variables()')",19
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_freed_variables()')",19
"('check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(null_deref)', 'list_variables()')",19
"('summarize_code()', 'list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",19
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(use_after_free)', 'list_variables()')",19
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_freed_variables()', 'list_functions()')",18
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",18
"('list_variables()', 'list_freed_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",18
"('check_pattern(use_after_free)', 'list_variables()', 'check_pattern(null_deref)', 'list_variables()')",18
"('list_variables()', 'list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",18
"('list_functions()', 'summarize_code()', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",18
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",18
"('summarize_code()', 'check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)')",18
"('summarize_code()', 'list_variables()', 'list_functions()', 'check_pattern(null_deref)')",18
"('list_variables()', 'list_functions()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",18
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",18
"('check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",18
"('list_functions()', 'check_pattern(use_after_free)', 'list_null_assigned_variables()', 'list_freed_variables()')",18
"('list_variables()', 'list_functions()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",18
"('summarize_code()', 'list_null_assigned_variables()', 'check_pattern(null_deref)', 'list_freed_variables()')",18
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",18
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",18
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_functions()')",18
"('list_variables()', 'list_freed_variables()', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",18
"('list_variables()', 'list_functions()', 'summarize_code()', 'check_pattern(buffer_overflow)')",18
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",18
"('list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",18
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_freed_variables()', 'list_null_assigned_variables()')",17
"('list_variables()', 'list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()')",17
"('list_freed_variables()', 'check_pattern(use_after_free)', 'list_functions()', 'list_null_assigned_variables()')",17
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_variables()', 'list_variables()')",17
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_variables()')",17
