4gram,frequency
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",656
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'list_functions()')",565
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",537
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()', 'list_variables()')",447
"('list_variables()', 'list_functions()', 'list_freed_variables()', 'list_null_assigned_variables()')",424
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'list_variables()')",393
"('summarize_code()', 'list_variables()', 'list_functions()', 'list_freed_variables()')",392
"('list_functions()', 'list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",389
"('summarize_code()', 'list_functions()', 'list_freed_variables()', 'list_null_assigned_variables()')",359
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'list_freed_variables()')",340
"('list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",324
"('list_freed_variables()', 'list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",309
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()')",307
"('list_variables()', 'list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()')",302
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)', 'summarize_code()')",286
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",281
"('summarize_code()', 'list_variables()', 'list_freed_variables()', 'list_functions()')",273
"('list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",271
"('list_variables()', 'list_variables()', 'list_variables()', 'list_variables()')",270
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",269
"('summarize_code()', 'list_variables()', 'list_functions()', 'check_pattern(null_deref)')",266
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()')",262
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",255
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",246
"('summarize_code()', 'list_variables()', 'list_variables()', 'list_variables()')",238
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",232
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",229
"('summarize_code()', 'list_variables()', 'list_variables()', 'list_functions()')",228
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",224
"('summarize_code()', 'list_variables()', 'list_functions()', 'list_null_assigned_variables()')",223
"('check_pattern(buffer_overflow)', 'list_variables()', 'summarize_code()', 'list_functions()')",217
"('check_pattern(null_deref)', 'summarize_code()', 'list_variables()', 'list_functions()')",214
"('summarize_code()', 'list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()')",210
"('list_functions()', 'check_pattern(null_deref)', 'list_freed_variables()', 'list_null_assigned_variables()')",210
"('list_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()', 'list_functions()')",206
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",204
"('list_functions()', 'check_pattern(use_after_free)', 'list_freed_variables()', 'list_null_assigned_variables()')",203
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",202
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",196
"('list_variables()', 'list_functions()', 'check_pattern(null_deref)', 'list_freed_variables()')",195
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",194
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'check_pattern(null_deref)')",194
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",193
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",188
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(buffer_overflow)')",187
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_variables()', 'summarize_code()')",183
"('check_pattern(null_deref)', 'summarize_code()', 'list_variables()', 'list_variables()')",181
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",180
"('check_pattern(null_deref)', 'summarize_code()', 'list_variables()', 'list_freed_variables()')",180
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_functions()', 'list_variables()')",180
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()')",179
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()', 'list_functions()')",177
"('list_variables()', 'list_variables()', 'list_functions()', 'list_freed_variables()')",175
"('summarize_code()', 'list_variables()', 'list_variables()', 'list_freed_variables()')",173
