4gram,frequency
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",224
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",91
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",78
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",63
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",63
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()')",62
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",55
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()', 'check_pattern(use_after_free)')",46
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'summarize_code()')",45
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_variables()')",44
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'summarize_code()')",37
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",30
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'summarize_code()')",30
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",26
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_variables()', 'check_pattern(null_deref)')",25
"('check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'summarize_code()')",22
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_variables()')",20
"('summarize_code()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",20
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'summarize_code()')",20
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_variables()', 'check_pattern(use_after_free)')",16
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",16
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()', 'list_variables()')",14
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'summarize_code()', 'check_pattern(null_deref)')",14
"('check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",14
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",14
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'summarize_code()')",13
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_variables()')",12
