4gram,frequency
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",296
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",267
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",159
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",115
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet')",104
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",102
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",83
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",82
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_comments')",69
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_code_snippet')",62
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",62
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",47
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_comments')",38
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",37
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet')",35
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",30
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",29
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes')",29
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments')",27
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class')",27
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes')",27
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",26
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes')",26
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",25
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",24
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",24
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",23
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",21
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",18
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",17
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",17
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",17
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",15
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",15
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",15
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes')",15
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",14
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet')",14
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_code_snippet')",13
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class')",12
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",12
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments')",11
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",11
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",11
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class')",10
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments')",10
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",9
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",9
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_comments')",9
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",9
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",9
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",8
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",8
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",8
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_comments')",8
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",7
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",7
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet', 'get_code_snippet')",7
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_classes')",7
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",7
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments')",6
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",6
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_comments')",6
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",6
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",6
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",6
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes', 'get_code_snippet')",6
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",6
"('get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",6
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",6
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",6
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet')",5
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_comments')",5
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet')",5
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",5
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",5
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_classes')",5
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",5
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",5
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",4
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments', 'get_code_snippet')",4
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet')",4
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",4
"('get_comments', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",4
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",4
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_comments', 'get_failing_tests_covered_classes')",4
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_classes')",4
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",3
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments')",3
"('get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",3
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_comments', 'get_code_snippet')",3
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",3
"('get_comments', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet')",3
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_classes', 'get_code_snippet')",3
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_comments')",3
"('get_code_snippet', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",3
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_comments')",3
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",3
"('get_comments', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",3
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments')",3
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_classes')",2
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",2
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",2
