5gram,frequency
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail')",845
"('get_covered_packages_pass', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail')",553
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_fail')",102
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_code_snippet_pass')",99
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_pass')",81
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass')",48
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_code_snippet_fail')",45
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_classes_fail')",40
"('get_covered_packages_pass', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_code_snippet_pass')",39
"('get_covered_packages_pass', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_fail')",37
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass')",35
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_code_snippet_fail', 'get_failing_tests_covered_classes_fail')",31
"('get_covered_packages_pass', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_pass')",30
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_code_snippet_pass', 'get_failing_tests_covered_classes_fail')",29
"('get_covered_packages_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass')",27
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_fail')",21
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_code_snippet_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail')",20
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail')",16
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail')",15
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_covered_packages_pass', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail')",14
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_covered_packages_pass')",14
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_classes_fail', 'get_code_snippet_pass')",14
"('get_covered_packages_pass', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass')",14
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_covered_packages_pass', 'get_failing_tests_covered_classes_fail')",13
"('get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_code_snippet_pass', 'get_failing_tests_covered_methods_for_class_pass')",13
"('get_covered_packages_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail')",13
"('get_covered_packages_pass', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_code_snippet_fail', 'get_failing_tests_covered_classes_fail')",12
"('get_covered_packages_pass', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_failing_tests_covered_classes_fail', 'get_code_snippet_fail')",12
