pattern,correlation,p-value
"('get_covered_packages_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass')",0.045149814319424005,0.0014060598725271266
"('get_covered_packages_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass')",0.07679789051831638,5.41535271995522e-08
"('get_covered_packages_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_fail')",-0.09568704240343652,1.2020483101043434e-11
"('get_covered_packages_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.023440550915286545,0.09745671044207221
"('get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.05333402618143781,0.00016127842950705584
"('get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass', 'get_code_snippet_pass')",0.02915653129916986,0.039245750157672114
"('get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_fail', 'get_code_snippet_pass')",-0.04228885628167067,0.0027818940759497045
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass')",0.01680175008705746,0.23489253797920776
"('get_covered_packages_pass', 'get_code_snippet_pass', 'get_code_snippet_pass')",0.05006255351763966,0.000398171864356639
"('get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_fail', 'get_code_snippet_fail')",-0.06124495289659736,1.4665213562495727e-05
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.0037504005302041693,0.7909108649445434
"('get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass', 'get_failing_tests_covered_methods_for_class_fail')",0.009446207939789569,0.5042640369408442
"('get_code_snippet_pass', 'get_code_snippet_pass', 'get_code_snippet_pass')",0.003943175510376114,0.7804320958469392
"('get_covered_packages_pass', 'get_code_snippet_fail', 'get_code_snippet_fail')",-0.04297439457356274,0.0023705549281980045
"('get_covered_packages_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail')",-0.048481034570174046,0.0006051710702765472
"('get_covered_packages_pass', 'get_code_snippet_fail', 'get_code_snippet_pass')",-0.007950162410247383,0.5740957840336743
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_code_snippet_fail')",-0.040882705745496614,0.003836153158111246
"('get_covered_packages_pass', 'get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.0231532992807482,0.10163139404314107
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass', 'get_code_snippet_pass')",0.023263839331392564,0.10000835123804523
"('get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_fail')",-0.03608521644044528,0.010716703888755693
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_fail')",-0.044123803306216104,0.0018038264900029533
"('get_covered_packages_pass', 'get_code_snippet_pass', 'get_failing_tests_covered_methods_for_class_fail')",0.043161215340079176,0.002268543703395137
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_code_snippet_pass')",-0.025855956924578222,0.06752843374714693
"('get_covered_packages_pass', 'get_code_snippet_pass', 'get_code_snippet_fail')",0.01174029742885143,0.4065470217966976
"('get_covered_packages_pass', 'get_code_snippet_pass', 'get_failing_tests_covered_methods_for_class_pass')",0.049373607438081106,0.00047852452469328814
"('get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass', 'get_code_snippet_fail')",0.008598711094418138,0.5432671271949123
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.03688055181874164,0.00910506023362427
"('get_covered_packages_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_pass')",0.0179910979238523,0.20339173979730737
"('get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.01896270563994161,0.1800337731216933
"('get_code_snippet_pass', 'get_code_snippet_fail', 'get_code_snippet_pass')",-0.009441793458729496,0.5044633030248314
