pattern,correlation,p-value
"('get_failing_tests_covered_classes_pass', 'get_code_snippet_pass', 'get_comments_pass')",0.17906859120158147,8.01181073334146e-27
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass')",0.011548199734166039,0.4927746982559153
"('get_failing_tests_covered_classes_pass', 'get_code_snippet_pass', 'get_code_snippet_pass')",0.04563150702120137,0.006696062982002998
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass')",-0.10525342273683823,3.640517834443923e-10
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_code_snippet_fail')",0.04411787135984396,0.008752871899799248
"('get_failing_tests_covered_classes_pass', 'get_code_snippet_fail', 'get_code_snippet_fail')",0.019637789456410377,0.2434305301127733
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_comments_fail')",0.036347711394144146,0.03081105006802732
"('get_code_snippet_fail', 'get_comments_fail', 'get_code_snippet_fail')",0.05245324588156371,0.0018239864171901465
"('get_code_snippet_pass', 'get_code_snippet_pass', 'get_code_snippet_pass')",0.029771289388402174,0.07696214231251751
"('get_code_snippet_pass', 'get_comments_pass', 'get_code_snippet_pass')",0.11983013319262674,9.145358269213342e-13
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail')",0.05332634254527008,0.0015272569660134748
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.06890883486183183,4.175332779296243e-05
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_fail')",-0.06975998872137265,3.349642632009604e-05
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail', 'get_code_snippet_fail')",0.05620180608894714,0.0008359128317259329
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass', 'get_code_snippet_pass')",0.037067462077760974,0.027644426565020877
"('get_failing_tests_covered_classes_pass', 'get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_pass')",-0.014073392379213494,0.4032117136752515
"('get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass', 'get_code_snippet_pass')",-0.04816917462481517,0.004202311546132966
"('get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail')",0.011132634193215214,0.5084722833940162
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.04600529606824538,0.006260254647971852
"('get_failing_tests_covered_classes_pass', 'get_code_snippet_pass', 'get_code_snippet_fail')",-0.027275980977458123,0.10516843869143522
"('get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass', 'get_comments_pass')",-0.01244135198901115,0.45993442028589093
"('get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_fail', 'get_code_snippet_fail')",-0.03823254879872717,0.02311266974836116
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass')",-0.05277500111892215,0.0017089647194438974
"('get_failing_tests_covered_classes_pass', 'get_code_snippet_fail', 'get_comments_fail')",0.012519312087714923,0.45712718953777803
"('get_code_snippet_pass', 'get_code_snippet_pass', 'get_comments_pass')",0.009570209717818044,0.5697537557653157
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_pass')",-0.007396957377869958,0.6604211862531901
"('get_comments_fail', 'get_code_snippet_fail', 'get_code_snippet_fail')",0.049446218620081764,0.0032975689736027152
"('get_code_snippet_pass', 'get_code_snippet_fail', 'get_code_snippet_fail')",-0.05031342432116391,0.0027884325130310126
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass', 'get_comments_pass')",0.03921383058553233,0.019810708844012627
"('get_failing_tests_covered_classes_pass', 'get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.04522997163618426,0.007194420698954004
