pattern,correlation,p-value
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",0.12454554439119327,1.1190293022768882e-13
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",0.06888137511436453,4.204945652209154e-05
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.08770116416971453,1.8001578302684554e-07
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",-0.03411366398227309,0.04269366156793194
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",0.008001714814110345,0.634607694044015
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",0.015847714980664035,0.3465518330565497
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.07027572238040813,2.927467405273566e-05
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet')",-0.03416395168324548,0.04238868296731724
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_comments')",0.07690931342986544,4.770552274321808e-06
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",-0.028175599870720092,0.09417798637632704
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_comments')",0.02039489668598079,0.22572865048602994
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",0.0008554331338806269,0.9594796756218305
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.054021571564824775,0.0013234995031098829
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",0.013792204917089917,0.41267454622012417
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.03720245255096579,0.02708285916457512
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",0.027607862803799257,0.10100105599172797
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_failing_tests_covered_classes')",0.03193163996028225,0.057828998342109986
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class')",0.006669814981055561,0.6919994410166794
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",0.03920074987004026,0.019851863248216084
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_classes')",0.018765516576649276,0.26500730376039455
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_code_snippet')",0.05742275043591636,0.0006417837479585629
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",-0.030764061997267538,0.06761033773614412
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",-0.010992654519566117,0.5138182825275531
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes')",-0.0024614456693149355,0.8837696034642374
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_comments')",0.0014212219992714662,0.9327301858037378
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_code_snippet')",-0.005985022415897463,0.7222373749177972
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_classes')",0.03831341756897746,0.02282355039429747
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",-0.00963582959358959,0.5671107518539988
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_classes')",-0.009537099751303112,0.5710895679759188
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",-0.028960655537206736,0.0853571921585075
