pattern,correlation,p-value
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass', 'get_comments_pass')",0.15939286340122052,1.6072272617048722e-21
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail', 'get_code_snippet_fail')",0.077929051036753,3.5612411495187924e-06
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass', 'get_code_snippet_pass')",0.061683189861448606,0.00024538690040272503
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.04696352816753262,0.00525725136433617
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail', 'get_code_snippet_fail', 'get_code_snippet_fail')",0.08014472406684799,1.8635307012333876e-06
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass', 'get_comments_pass')",-0.027699866235488733,0.09986937066577675
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.028632643253505976,0.08895792802550875
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_pass')",0.023661817111578425,0.1598615318438361
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass')",0.017921844567489534,0.2870962253868615
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_code_snippet_fail', 'get_comments_fail')",0.06458996221956852,0.00012294095902800709
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_comments_fail', 'get_code_snippet_fail')",0.0645899622195684,0.00012294095902800709
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass', 'get_comments_pass', 'get_code_snippet_pass')",0.06261820986665864,0.0001970865933035685
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_code_snippet_fail', 'get_code_snippet_fail')",0.052239593903888895,0.0019042468430663275
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail')",0.024599830444817172,0.14394054672047227
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_fail', 'get_failing_tests_covered_methods_for_class_fail')",-0.009773610207111207,0.5615804823176318
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass')",0.0036759943177301913,0.8271734126982273
"('get_code_snippet_fail', 'get_comments_fail', 'get_code_snippet_fail', 'get_failing_tests_covered_classes_pass')",0.03720245255096591,0.0270828591645743
"('get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass', 'get_comments_pass')",0.008573707261902699,0.610594168870639
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass', 'get_code_snippet_pass', 'get_code_snippet_pass')",0.039992478822613954,0.01749129985112919
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail', 'get_failing_tests_covered_classes_pass')",0.015538464023795743,0.35604473250813495
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_comments_pass', 'get_code_snippet_pass')",-0.04839733160496382,0.004025755455965377
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_comments_pass', 'get_code_snippet_pass')",-0.014645023949098362,0.3843796231704736
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail', 'get_code_snippet_fail', 'get_comments_fail')",0.013447145690072966,0.4244648412027025
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail', 'get_code_snippet_pass')",-0.016612753833291104,0.3237674659007642
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_fail', 'get_comments_fail')",0.017605372216621916,0.2956936977002706
"('get_failing_tests_covered_methods_for_class_pass', 'get_code_snippet_pass', 'get_code_snippet_pass', 'get_comments_pass')",0.041495799148198544,0.013677939995037004
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_classes_pass')",-0.027296764629815104,0.10490351970085735
"('get_code_snippet_fail', 'get_code_snippet_fail', 'get_comments_fail', 'get_failing_tests_covered_classes_pass')",0.005875501366420843,0.7271153912591926
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_code_snippet_pass', 'get_code_snippet_pass')",-0.02118352388780652,0.20828720339642864
"('get_failing_tests_covered_classes_pass', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_fail', 'get_failing_tests_covered_methods_for_class_pass')",0.03548657726507934,0.035004200652159756
