pattern,correlation,p-value
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",-0.017960306759185463,0.28606295200066134
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",-0.046118257371417,0.006133667613263223
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",-0.011997117017721768,0.4761134019910513
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",0.034237376315771624,0.041946695920290857
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",-0.027176732200253056,0.10644084025247084
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_comments')",-0.009090516345156532,0.5892508128841858
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.02238482505849948,0.18362927947464172
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_code_snippet')",0.04009067552169333,0.017216395107270042
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments', 'get_code_snippet')",-0.001653823997990357,0.9217534405252428
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_comments')",0.03782823276622616,0.024606330384545023
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.06664085461129046,7.42033846683077e-05
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",0.008145058247732245,0.6285522879197221
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",-0.04786962153446553,0.004444771645433784
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_comments')",-0.01082398598783514,0.5202985663982926
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.03511843613888206,0.03694019457355989
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.036936975017984444,0.02819677232732541
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",-0.044767643551657604,0.007809249758136172
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",0.029913010963533854,0.07556594778807954
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.047583528696270506,0.004688095787304421
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",-0.038590279204114314,0.021857377030976274
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",0.0006202560484194588,0.9706135987713188
"('get_comments', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.02699634317112062,0.10878469196111824
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",-0.010813784611536589,0.520691851749863
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet')",-0.013432412063635457,0.42497261600931596
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments')",0.00027675686986517963,0.9868854788797544
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",-0.025492445905466225,0.1299465188388389
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.021538936182562626,0.20075437006153216
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",0.028437813987763405,0.09115392448542435
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments', 'get_comments')",0.01981579188234003,0.23918347330413692
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class')",-0.007639988149350006,0.6499968181488601
