pattern,correlation,p-value
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",-0.01642871786590239,0.3291572598890214
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.02041873843455657,0.22518653136677
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",-0.004557779581471017,0.7866213781114081
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.04068543082129296,0.015630928333406464
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.09673693351400217,8.4621710215634e-09
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.03487638639510746,0.03826215865531581
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",0.0008332946886786033,0.9605274669067675
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_comments')",0.007471488208266746,0.6572171916769368
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_comments')",0.024200562371041085,0.1505621357057037
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_code_snippet')",0.04623767814329938,0.006002351913700701
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.012441351989011157,0.45993442028589093
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",-0.032358847396948075,0.05455737199630541
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",-0.03131973043799397,0.06279762068037348
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_comments')",-0.016845000459376112,0.3170482500442031
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.04386389726152891,0.00914855327743927
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class')",0.012758890317768381,0.4485608048491613
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_comments')",0.0558191164129525,0.0009071700108964171
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",-0.0036007574993468373,0.8306565286458584
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.019349302052607997,0.2504256792237337
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",-0.004480174109508802,0.7901689378717337
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",-0.015797737131539424,0.34807496390233106
"('get_comments', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.03649288161431043,0.030148406736221628
"('get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.015600246994838415,0.35413523162873395
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.005583255486704035,0.740185623878878
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",-0.015797737131539445,0.34807496390233106
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.01620409081346661,0.3358141304517093
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",-0.0036007574993468247,0.8306565286458584
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",-0.017287584933928395,0.3044985774869773
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",-0.03826534912274383,0.022995022105525453
"('get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments')",0.012253051170647636,0.46675448032680894
