pattern,correlation,p-value
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.02397693513295055,0.004381841545555263
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.0009679997691977112,0.9084332809304011
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.012050649385725328,0.1521795881891927
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_comments')",0.0029464471510264427,0.7262718868409455
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.03437143367218683,4.4053936541913926e-05
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.03407515257297781,5.124251347556666e-05
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_comments')",0.020686842680823395,0.013963017489932379
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",-0.05175696929742243,7.567830151824371e-10
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",-0.000794347747315678,0.9248056346368048
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.03408660254369146,5.0945177719827936e-05
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_comments')",0.036388830773291796,1.5249923433339892e-05
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet', 'get_code_snippet')",0.0139650197986417,0.09704249184610092
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",0.0023973854766689987,0.7757584765728418
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",-0.010402456331179649,0.2164500176882628
"('get_failing_tests_covered_classes', 'get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.011458561406831366,0.17335018383354653
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.014911212310062594,0.07642688326914931
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",-0.05202337057796741,6.192407992675261e-10
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",-0.049562780042255894,3.803352251418964e-09
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",-0.02945214708201359,0.00046494838475583144
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",-0.03826495779084222,5.410763142124365e-06
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",-0.014921210052315814,0.07622980115648044
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",0.014465331294006522,0.08564743724325258
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet', 'get_comments')",0.010173346093525059,0.226740222238978
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet', 'get_code_snippet')",0.013885699311117721,0.09895564390207576
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.002131826001338954,0.8000382182154935
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.01943818149190747,0.02089888035479522
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_failing_tests_covered_methods_for_class')",-0.0017433090718232173,0.8359043803969229
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",-0.015956081204165105,0.057963249217303975
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.021995982188922254,0.0089537578004029
"('get_comments', 'get_code_snippet', 'get_comments', 'get_code_snippet', 'get_comments')",0.008494793298422308,0.31280930247034056
