pattern,correlation,p-value
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.03334720473306013,0.0475763022401928
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",-0.0017490508879767356,0.9172637532103846
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet')",0.005722377571600921,0.7339539893916753
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.03091888066322242,0.06623989847757444
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_comments')",0.024688669472529873,0.1424980303670089
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",-0.11005931628370917,5.502885967600529e-11
"('get_code_snippet', 'get_comments', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.02742065775411284,0.10333528478982276
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",-0.10446647325487678,4.921686462976762e-10
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",-0.10526772739552433,3.62054495782194e-10
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class')",-0.07796911924899014,3.5203074035528616e-06
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_comments')",-0.0005193552959585416,0.9753923974752342
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.07796911924898993,3.520307403553227e-06
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.02402148457197464,0.15360636572109976
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet', 'get_code_snippet')",0.032726007586726,0.051870292299177986
"('get_comments', 'get_code_snippet', 'get_comments', 'get_code_snippet', 'get_comments')",0.014082071164562072,0.4029217278211803
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet', 'get_comments')",0.0201088149708132,0.23230636629570392
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet')",-0.011001776241975287,0.5134690242388648
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",-0.08862232941610662,1.335517280976081e-07
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet', 'get_comments')",0.017026212164345123,0.31186949439848377
"('get_failing_tests_covered_methods_for_class', 'get_comments', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.022573541922741813,0.17996077371180186
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",0.011214043012981102,0.5053766393840444
"('get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet', 'get_code_snippet')",-0.013178270813460447,0.4337869311544426
"('get_code_snippet', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",0.010479224379106807,0.5336741767506898
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class')",-0.059039578759263314,0.0004488064442030794
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes')",-0.0675788945583234,5.862173704138354e-05
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class')",-0.013827569691401604,0.4114772296735111
"('get_comments', 'get_code_snippet', 'get_code_snippet', 'get_comments', 'get_code_snippet')",0.008838804807947959,0.5996031608121021
"('get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_comments', 'get_comments', 'get_code_snippet')",0.025401293474320786,0.13132526161371905
"('get_failing_tests_covered_methods_for_class', 'get_code_snippet', 'get_code_snippet', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.007481730278788351,0.6567773869263315
"('get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_methods_for_class', 'get_failing_tests_covered_classes', 'get_failing_tests_covered_methods_for_class', 'get_code_snippet')",-0.051229644689853394,0.0023293630300111837
