pattern,correlation,p-value
"('check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid', 'summarize_code()_valid')",0.0051854149936562885,0.6388006773815871
"('check_pattern(use_after_free)_valid', 'summarize_code()_valid', 'check_pattern(null_deref)_valid')",0.0036420633684142107,0.7416468922809418
"('list_variables()_valid', 'check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid')",0.015657839053097516,0.15636529992717907
"('check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid', 'check_pattern(buffer_overflow)_valid')",0.01403785429384329,0.20382099718755944
"('check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid')",0.0010297093045030289,0.9257389511250464
"('check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid')",0.004780195892523419,0.6652356185251193
"('check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(buffer_overflow)_valid')",0.011993717008562697,0.2776180377984634
"('check_pattern(use_after_free)_valid', 'check_pattern(buffer_overflow)_valid', 'list_variables()_valid')",-0.006644945554388913,0.5475113287218251
"('list_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid')",-0.009835669653745945,0.373290741942281
"('check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid', 'summarize_code()_valid')",0.006726301874891649,0.5426185843605316
"('check_pattern(use_after_free)_valid', 'summarize_code()_valid', 'check_pattern(buffer_overflow)_valid')",-0.017143464227903478,0.12068487387798285
"('summarize_code()_valid', 'check_pattern(buffer_overflow)_valid', 'list_variables()_valid')",-0.00465476538877848,0.6735052760256279
"('check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid', 'summarize_code()_valid')",0.0017269176908398017,0.8757830207725931
"('check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid')",-0.020397325392863538,0.06481728207419979
"('check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid', 'list_variables()_valid')",-0.0008973081264173743,0.9352649965523899
"('check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid')",0.02801489751307914,0.011201504517509314
"('check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid', 'summarize_code()_valid')",0.005768662909329644,0.6015506429529622
"('list_variables()_valid', 'summarize_code()_valid', 'check_pattern(null_deref)_valid')",-0.00850743341890941,0.4412468620191505
"('summarize_code()_valid', 'list_variables()_valid', 'check_pattern(null_deref)_valid')",-0.0004996070505305494,0.9639292341436752
"('list_variables()_valid', 'check_pattern(null_deref)_valid', 'check_pattern(buffer_overflow)_valid')",-0.004408060069358864,0.6898854547181934
"('check_pattern(null_deref)_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(use_after_free)_valid')",-0.0021597974600345814,0.8450010090251712
"('list_variables()_valid', 'check_pattern(use_after_free)_valid', 'check_pattern(null_deref)_valid')",0.017890370247704956,0.1053334242736619
"('check_pattern(use_after_free)_valid', 'summarize_code()_valid', 'list_variables()_valid')",0.009642691586687097,0.3827410236439849
