pattern,correlation,p-value
"('list_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid')",0.005203520187252594,0.637629887596005
"('check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid')",0.028043497475949662,0.011118910737706583
"('check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid', 'summarize_code()_valid')",-0.0016496590707706178,0.8812980843236916
"('check_pattern(null_deref)_valid', 'summarize_code()_valid', 'list_functions()_valid')",-0.001746408277133883,0.8743926374124313
"('summarize_code()_valid', 'list_functions()_valid', 'check_pattern(use_after_free)_valid')",0.010462170049292306,0.343618323055336
"('list_functions()_valid', 'check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid')",0.014048365695859447,0.2034825493463727
"('check_pattern(use_after_free)_valid', 'list_null_assigned_variables()_valid', 'list_freed_variables()_valid')",0.005909182149598971,0.5927247147615743
"('check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid')",0.02025362335898473,0.06672756448896455
"('check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid', 'summarize_code()_valid')",-0.004765631387068099,0.6661937963807394
"('check_pattern(null_deref)_valid', 'summarize_code()_valid', 'list_variables()_valid')",-0.010718001574755645,0.33194709036383796
"('summarize_code()_valid', 'list_variables()_valid', 'list_freed_variables()_valid')",0.013502404294392093,0.221607156252706
"('list_variables()_valid', 'list_freed_variables()_valid', 'list_null_assigned_variables()_valid')",-0.007339472793617722,0.5064580024479769
"('list_freed_variables()_valid', 'list_null_assigned_variables()_valid', 'list_functions()_valid')",-0.0011590930247275966,0.9164402692641771
"('list_null_assigned_variables()_valid', 'list_functions()_valid', 'check_pattern(null_deref)_valid')",0.0016920255443955115,0.8782730469536842
"('list_functions()_valid', 'check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid')",0.009465025535088033,0.39156983249584365
"('list_variables()_valid', 'check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid')",0.004181202376468132,0.7050773617679348
"('check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid')",0.046830883964987025,2.2216669579398355e-05
"('check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid', 'check_pattern(buffer_overflow)_valid')",0.027080279326660142,0.014218272662859997
"('check_pattern(null_deref)_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid')",0.016032402617827096,0.14669256907663844
"('check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid', 'list_functions()_valid')",-0.012314484425412685,0.2649686276489875
"('check_pattern(null_deref)_valid', 'list_functions()_valid', 'summarize_code()_valid')",-0.00016614095420365224,0.9880012743227639
"('list_functions()_valid', 'summarize_code()_valid', 'check_pattern(use_after_free)_valid')",-0.009058351296461565,0.4122387692496204
"('summarize_code()_valid', 'check_pattern(use_after_free)_valid', 'list_freed_variables()_valid')",-0.012229963383258768,0.26826251352504993
"('check_pattern(use_after_free)_valid', 'list_freed_variables()_valid', 'list_null_assigned_variables()_valid')",-0.030531104203866552,0.005705250621824529
"('check_pattern(buffer_overflow)_valid', 'list_variables()_valid', 'check_pattern(buffer_overflow)_valid')",0.033670259415796516,0.0022988946149015855
"('check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid', 'list_freed_variables()_valid')",0.016592366960025872,0.1330943974711333
"('check_pattern(null_deref)_valid', 'list_freed_variables()_valid', 'list_variables()_valid')",0.006500406631517884,0.556257311639896
"('list_freed_variables()_valid', 'list_variables()_valid', 'check_pattern(buffer_overflow)_valid')",0.012460524144105804,0.2593431740498967
"('list_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid')",0.029319337705260285,0.007942672684081813
"('check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid', 'summarize_code()_valid')",0.018990581793315156,0.08558822239261035
"('check_pattern(buffer_overflow)_valid', 'summarize_code()_valid', 'check_pattern(buffer_overflow)_valid')",0.012641862794417494,0.25247383872564555
"('check_pattern(buffer_overflow)_valid', 'list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid')",-0.009508459452886435,0.389400124676495
"('list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'list_functions()_valid')",-0.007177056813366985,0.5159113079066341
"('check_pattern(buffer_overflow)_valid', 'list_functions()_valid', 'check_pattern(use_after_free)_valid')",-0.013679093845281586,0.21561910776448018
"('list_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'summarize_code()_valid')",0.00840573888528468,0.44672651884033826
"('check_pattern(buffer_overflow)_valid', 'summarize_code()_valid', 'check_pattern(null_deref)_valid')",-0.00499130443315818,0.6514091218253649
"('summarize_code()_valid', 'check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid')",-0.005141794679780542,0.6416251218310288
"('check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid', 'list_functions()_valid')",0.011803643939044317,0.2853045347208814
"('check_pattern(use_after_free)_valid', 'list_functions()_valid', 'list_null_assigned_variables()_valid')",0.010353794243941214,0.34864057432460743
"('list_functions()_valid', 'list_null_assigned_variables()_valid', 'list_freed_variables()_valid')",0.018128704883621016,0.10077497173425394
"('check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid', 'list_variables()_valid')",-0.009818070178132635,0.3741465677796284
"('check_pattern(null_deref)_valid', 'list_variables()_valid', 'check_pattern(buffer_overflow)_valid')",0.0168325549658259,0.12756957939422053
"('check_pattern(buffer_overflow)_valid', 'summarize_code()_valid', 'list_variables()_valid')",0.0048246107671252566,0.6623170069585933
"('summarize_code()_valid', 'list_variables()_valid', 'list_functions()_valid')",-0.0022087967733306997,0.8415306280101474
"('list_variables()_valid', 'list_functions()_valid', 'list_null_assigned_variables()_valid')",0.01845121283631991,0.0948583986274233
"('list_functions()_valid', 'list_null_assigned_variables()_valid', 'check_pattern(use_after_free)_valid')",0.01360658124773044,0.21806232477580925
"('list_null_assigned_variables()_valid', 'check_pattern(use_after_free)_valid', 'list_freed_variables()_valid')",0.0034446715353470434,0.7551883097694312
"('summarize_code()_valid', 'list_variables()_valid', 'list_variables()_valid')",-0.003613397110605026,0.7436086024334743
"('list_variables()_valid', 'list_variables()_valid', 'list_freed_variables()_valid')",-0.0014760570487555346,0.8937111842410181
"('list_variables()_valid', 'list_freed_variables()_valid', 'list_variables()_valid')",-0.004486976433217686,0.6846294718781919
"('list_freed_variables()_valid', 'list_variables()_valid', 'list_null_assigned_variables()_valid')",0.02080392944528689,0.05965526250012465
"('list_variables()_valid', 'list_null_assigned_variables()_valid', 'list_functions()_valid')",-0.001673094671592561,0.8796245261742518
"('check_pattern(buffer_overflow)_valid', 'summarize_code()_valid', 'list_functions()_valid')",0.0122760472489988,0.2664630998712349
"('summarize_code()_valid', 'list_functions()_valid', 'check_pattern(buffer_overflow)_valid')",-0.010211563308188155,0.3553020795176035
"('list_functions()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(buffer_overflow)_valid')",-0.0037563102651956056,0.7338454430069471
"('check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid', 'list_freed_variables()_valid')",-0.01943633207638814,0.07849207598268547
"('check_pattern(null_deref)_valid', 'list_freed_variables()_valid', 'check_pattern(buffer_overflow)_valid')",0.003107205149498223,0.7785121136674046
"('list_freed_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'list_null_assigned_variables()_valid')",0.0045048841992774615,0.6834388912712503
"('list_null_assigned_variables()_valid', 'check_pattern(buffer_overflow)_valid', 'check_pattern(null_deref)_valid')",-0.004340418223639126,0.6944024797492531
"('check_pattern(null_deref)_valid', 'check_pattern(null_deref)_valid', 'check_pattern(use_after_free)_valid')",0.017387204289327614,0.1154936614571151
