pattern,correlation,p-value
"('list_variables()', 'check_pattern(use_after_free)', 'list_functions()')",-0.011783627352605611,0.2861222927794468
"('check_pattern(use_after_free)', 'list_functions()', 'check_pattern(buffer_overflow)')",-0.00929891150987881,0.39993538314859245
"('list_functions()', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",-0.007618272107091439,0.4904455088591099
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'list_freed_variables()')",-0.02128348732823682,0.05401005040079699
"('list_null_assigned_variables()', 'list_freed_variables()', 'summarize_code()')",0.00853421862940232,0.43981001284150134
"('list_freed_variables()', 'summarize_code()', 'check_pattern(null_deref)')",-0.01731414528430461,0.11703092197422457
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_variables()')",0.027782717499631154,0.01189243052867848
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_variables()')",0.014415637299352458,0.19191266791536626
"('list_variables()', 'list_variables()', 'list_variables()')",0.02515956714368512,0.02274129380558837
"('list_variables()', 'list_variables()', 'check_pattern(buffer_overflow)')",0.014666134622588329,0.18430370800666512
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",0.0379568490953818,0.0005881634563244605
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",0.04333719749076126,8.686017922332254e-05
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_functions()')",0.01851860615900445,0.09365789492753303
"('check_pattern(buffer_overflow)', 'list_functions()', 'list_functions()')",0.013977618910128109,0.20576836746675697
"('list_functions()', 'list_functions()', 'check_pattern(use_after_free)')",0.009549129749796707,0.38737511542233366
"('list_functions()', 'check_pattern(use_after_free)', 'summarize_code()')",-0.011570598659812555,0.29492344134597986
"('check_pattern(use_after_free)', 'summarize_code()', 'check_pattern(buffer_overflow)')",-0.0005668679873051144,0.9590771175804481
"('summarize_code()', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",-0.019979135645160268,0.07050524085010877
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",-0.019542888525415122,0.07686864087062378
"('list_variables()', 'list_functions()', 'check_pattern(buffer_overflow)')",-0.03275519579803665,0.0030196639210407685
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",-0.021521987984374855,0.05137286257549754
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_null_assigned_variables()')",-0.028275208504123683,0.010469451164918028
"('check_pattern(use_after_free)', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",-0.01781590363445084,0.1067907614350007
"('list_null_assigned_variables()', 'check_pattern(null_deref)', 'list_freed_variables()')",-0.028120587341212904,0.0108989706133924
"('check_pattern(null_deref)', 'list_freed_variables()', 'summarize_code()')",-0.023599609927593874,0.032639826265078685
"('list_freed_variables()', 'summarize_code()', 'summarize_code()')",0.010773269239526408,0.32945977858159575
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(buffer_overflow)')",0.042058185050098146,0.00013969591040804055
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)')",-0.026357154476739506,0.01702301752028421
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_null_assigned_variables()')",-0.013671664162631509,0.21586853092300687
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'summarize_code()')",-0.005647557787757862,0.6092044001732405
"('list_null_assigned_variables()', 'summarize_code()', 'list_freed_variables()')",-0.01731968788477633,0.11691373789679164
"('summarize_code()', 'list_freed_variables()', 'check_pattern(use_after_free)')",-0.03456451547003749,0.0017501808167754908
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",-0.0034963137348620545,0.7516381021119732
"('check_pattern(buffer_overflow)', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",0.0012980851988222243,0.9064637917867208
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",-0.00790262704271628,0.47439848290109976
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_variables()')",0.032705852865204194,0.003063841321057729
"('check_pattern(use_after_free)', 'list_variables()', 'check_pattern(null_deref)')",-0.007708603632061531,0.48531641731643643
"('list_variables()', 'check_pattern(null_deref)', 'list_functions()')",-0.0167610206915746,0.1291960371915183
"('check_pattern(null_deref)', 'list_functions()', 'list_freed_variables()')",-0.0012943324156985574,0.9067329697306675
"('list_functions()', 'list_freed_variables()', 'summarize_code()')",0.0018956810200904213,0.8637572580628152
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",0.007252229155979744,0.5115246084413682
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",-0.0005536135594696545,0.96003316055906
"('list_variables()', 'list_functions()', 'check_pattern(use_after_free)')",-0.01784499006153141,0.10621964003269517
"('list_functions()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",0.004279701170865407,0.6984663451674985
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",0.0018457338571167652,0.8673132437743599
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",-0.031117049573750243,0.004842416192076872
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_null_assigned_variables()')",-0.017792372639552183,0.10725457825985038
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_functions()')",0.01803759854280238,0.10249858215386268
"('check_pattern(buffer_overflow)', 'list_functions()', 'list_null_assigned_variables()')",-0.021151912917915957,0.05551264496696345
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",-0.00226281811495203,0.8377081284772637
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'summarize_code()')",0.009402917002098653,0.39468513156292456
"('check_pattern(buffer_overflow)', 'summarize_code()', 'summarize_code()')",-0.01743554548670624,0.11448525453185154
"('summarize_code()', 'summarize_code()', 'check_pattern(use_after_free)')",-0.003581580188685493,0.7457878705549402
"('summarize_code()', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",-0.0033741431533550028,0.7600452217508911
"('check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",0.022685817003466814,0.0400010544389995
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",0.0024371185695802695,0.8254013201205959
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",-0.007772334729975917,0.48171526138373844
"('check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_functions()')",0.010057626033622567,0.3626017098743023
"('check_pattern(null_deref)', 'list_functions()', 'list_null_assigned_variables()')",0.008807117994198786,0.4253245720674185
"('list_functions()', 'list_null_assigned_variables()', 'summarize_code()')",-0.008291886868157246,0.4529069441230809
"('check_pattern(buffer_overflow)', 'list_functions()', 'summarize_code()')",0.009913960616622421,0.3694983200920739
"('list_functions()', 'summarize_code()', 'check_pattern(buffer_overflow)')",0.002736973550121127,0.8043311625021398
"('summarize_code()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",0.014222781316320477,0.19792627636302665
"('check_pattern(null_deref)', 'list_null_assigned_variables()', 'list_freed_variables()')",-0.010277979997415152,0.3521814645576245
"('list_null_assigned_variables()', 'list_freed_variables()', 'check_pattern(use_after_free)')",-0.017021899752403494,0.12334132834228642
"('list_freed_variables()', 'check_pattern(use_after_free)', 'summarize_code()')",-0.025395045691999477,0.021500491915606903
"('list_variables()', 'list_variables()', 'list_functions()')",0.010864455983636206,0.3253823962124376
"('list_functions()', 'check_pattern(use_after_free)', 'list_null_assigned_variables()')",0.002015682497934486,0.8552251631992592
"('check_pattern(use_after_free)', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",-0.0020467304798588793,0.8530203654735358
"('list_null_assigned_variables()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",-0.028513075084577837,0.009838053234845448
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'list_variables()')",0.021440122266253935,0.052265666158049506
"('check_pattern(buffer_overflow)', 'list_functions()', 'check_pattern(buffer_overflow)')",0.02742461068359022,0.013032256437032898
"('list_functions()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",0.01987423859909246,0.07199446605612572
"('list_null_assigned_variables()', 'list_freed_variables()', 'check_pattern(buffer_overflow)')",0.004319712039216082,0.6957873900305195
"('list_freed_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",0.0028128272727377043,0.7990228875597889
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",0.007661175571085884,0.48800579136106115
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'list_freed_variables()')",-0.00017805966296283865,0.987140575339345
"('check_pattern(use_after_free)', 'list_freed_variables()', 'check_pattern(buffer_overflow)')",-0.012991402713257244,0.2395929507652379
"('list_freed_variables()', 'check_pattern(buffer_overflow)', 'list_functions()')",-0.013491767426850765,0.22197140652535496
"('list_functions()', 'list_null_assigned_variables()', 'check_pattern(use_after_free)')",-0.012357572933496496,0.2633001841177946
"('list_null_assigned_variables()', 'check_pattern(use_after_free)', 'summarize_code()')",-0.0067967980993083495,0.5383966551404845
"('summarize_code()', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",0.007976538268620407,0.47027516634190764
"('list_variables()', 'summarize_code()', 'list_variables()')",0.001657290184068491,0.8807530808317485
"('summarize_code()', 'list_variables()', 'list_variables()')",-0.01246670680129527,0.25910685662021676
"('list_variables()', 'list_functions()', 'list_variables()')",-0.012316492422250396,0.2648907139403696
"('list_functions()', 'list_variables()', 'list_variables()')",0.00805120781424591,0.46612971949820375
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_freed_variables()')",0.0007375817293089311,0.9467692662625397
"('check_pattern(buffer_overflow)', 'list_freed_variables()', 'check_pattern(buffer_overflow)')",-0.006885931111670062,0.5330822827886812
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",0.004947661805846481,0.6542578719342779
"('list_null_assigned_variables()', 'check_pattern(buffer_overflow)', 'list_freed_variables()')",-0.0016994672619268791,0.8777418779592082
