pattern,correlation,p-value
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'summarize_code()', 'check_pattern(null_deref)')",-0.00870268182897526,0.43083483791759875
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)')",0.013913508401115085,0.20785582807118366
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",-0.013991590925537168,0.20531546189363212
"('check_pattern(null_deref)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",0.004075069407518022,0.7122257607136467
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'list_variables()')",-0.0030048369228507007,0.7856279363787791
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'summarize_code()', 'check_pattern(buffer_overflow)')",-0.013392943845914116,0.22537604226177074
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_variables()')",0.008151648089068368,0.4605856925516409
"('check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'summarize_code()')",0.005197892774734956,0.6379936930182313
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",-0.016117790948912924,0.14455293492591517
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",-0.005930833449764838,0.5913701041632512
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)')",0.015111022946063497,0.1713443267991788
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'summarize_code()')",0.014298245825426919,0.19555694242779756
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'summarize_code()', 'list_variables()')",-0.009289810028290293,0.40039682001542465
"('list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)')",0.015373634625784853,0.1640216873883526
"('check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(null_deref)', 'list_variables()')",-0.01848850450700008,0.09419259312852112
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'summarize_code()')",-0.0038285624441052055,0.7289257257782098
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'summarize_code()')",-0.011325660279017706,0.3052648302382467
"('summarize_code()', 'check_pattern(null_deref)', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)')",0.0031808177265735026,0.7734065676189716
"('list_variables()', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",0.013794374141056404,0.21177557778148054
"('check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)', 'check_pattern(use_after_free)')",-0.010089414728539433,0.3610866632250854
"('check_pattern(buffer_overflow)', 'summarize_code()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",-0.013214168264627676,0.23162956337342802
"('check_pattern(null_deref)', 'check_pattern(use_after_free)', 'check_pattern(buffer_overflow)', 'summarize_code()')",-0.0035794151301073458,0.745936238213958
"('check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_variables()', 'check_pattern(use_after_free)')",-0.009097269063017804,0.41023325443532455
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)')",0.024554524158241952,0.02621846882109511
