pattern,correlation,p-value
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()')",0.002122704189011639,0.8476301487590167
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_freed_variables()')",0.013708088308899824,0.21464771510842365
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_freed_variables()')",0.023151506311231473,0.036090363553954806
"('check_pattern(buffer_overflow)', 'list_variables()', 'list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()')",0.0023161649771894777,0.8339371086861515
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_variables()')",-0.0004085371533351888,0.970500993312569
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_freed_variables()')",-0.005004085444543651,0.6505758078253431
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'list_freed_variables()', 'list_functions()')",-0.013806802769118687,0.21136417351064818
"('check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)', 'check_pattern(buffer_overflow)')",-0.009303631930573104,0.3996961880510387
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_functions()')",-0.002769463169408323,0.8020564055380162
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'list_functions()', 'list_null_assigned_variables()')",-0.005924139232706309,0.5917887749958769
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'summarize_code()')",-0.002362354817267598,0.8306750880845245
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'list_functions()', 'check_pattern(null_deref)')",-0.015191454416729666,0.1690760436606422
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)', 'list_freed_variables()', 'list_functions()')",-0.013738464524016444,0.21363341762776605
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'summarize_code()')",0.00454320440033107,0.6808938553234966
"('check_pattern(buffer_overflow)', 'summarize_code()', 'list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)')",-0.003925733065878161,0.7223268815168065
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_freed_variables()', 'list_functions()', 'summarize_code()')",-0.012248409273465379,0.26754126684161617
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)', 'list_freed_variables()', 'check_pattern(use_after_free)')",0.00610649045001574,0.5804331206933091
"('list_variables()', 'list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",0.009920022584146142,0.3692056800580277
"('list_variables()', 'check_pattern(buffer_overflow)', 'summarize_code()', 'list_functions()', 'check_pattern(null_deref)')",0.0062842968270589526,0.569459766459903
"('list_variables()', 'check_pattern(buffer_overflow)', 'list_functions()', 'summarize_code()', 'check_pattern(null_deref)')",-0.008145927601937388,0.4609004543503792
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'list_variables()')",0.013784275078123992,0.21211029619201585
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'list_variables()', 'check_pattern(null_deref)')",-0.003660961065130173,0.7403545878871666
"('list_freed_variables()', 'list_functions()', 'summarize_code()', 'list_null_assigned_variables()', 'check_pattern(null_deref)')",-0.008145927601937542,0.4609004543503614
"('list_variables()', 'check_pattern(buffer_overflow)', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_variables()')",0.00020968352849818532,0.9848569611310112
"('list_variables()', 'list_freed_variables()', 'check_pattern(buffer_overflow)', 'list_functions()', 'list_null_assigned_variables()')",0.019805517277151012,0.07298399790822355
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(use_after_free)', 'list_freed_variables()', 'check_pattern(null_deref)')",0.019805517277151255,0.07298399790821937
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(use_after_free)', 'check_pattern(null_deref)', 'list_variables()')",-0.00015980049362703842,0.9884591508135688
"('check_pattern(buffer_overflow)', 'list_freed_variables()', 'list_functions()', 'list_null_assigned_variables()', 'check_pattern(buffer_overflow)')",0.005923440222828488,0.5918325004338031
"('list_variables()', 'list_freed_variables()', 'list_functions()', 'summarize_code()', 'list_null_assigned_variables()')",-0.00880992895508531,0.4251768308931148
"('check_pattern(buffer_overflow)', 'list_variables()', 'check_pattern(null_deref)', 'check_pattern(use_after_free)', 'summarize_code()')",-0.004681974592184109,0.6717079702055351
