bug_id,run_id,model,total_messages,function_calls,valid_function_calls,function_repetitions,function_and_args_repetitions,content_length,success
Closure_54,9,llama3,9,2,2,0,0,671,False
Closure_15,9,llama3,15,5,4,0,0,1586,False
Math_95,9,llama3,9,2,1,0,0,462,False
Closure_42,9,llama3,9,2,1,0,0,523,False
Chart_15,9,llama3,11,3,2,0,0,1172,False
Closure_39,9,llama3,9,2,2,0,0,644,False
Math_56,9,llama3,13,4,4,0,0,875,True
Lang_14,9,llama3,17,6,4,2,0,782,False
Math_103,9,llama3,13,4,2,1,1,837,True
Closure_5,9,llama3,9,2,1,0,0,975,False
Closure_81,9,llama3,15,5,1,1,1,482,False
Closure_114,9,llama3,9,2,2,0,0,1183,False
Lang_43,9,llama3,13,4,4,1,0,1628,True
Closure_78,9,llama3,11,3,3,0,0,1523,False
Closure_102,9,llama3,11,3,3,0,0,820,False
Closure_97,9,llama3,13,4,3,0,0,598,False
Math_17,9,llama3,7,1,1,0,0,456,False
Lang_55,9,llama3,15,5,3,0,0,757,True
Time_17,9,llama3,11,3,3,0,0,1014,True
Math_6,9,llama3,11,3,3,2,2,877,False
Math_40,9,llama3,11,3,3,0,0,632,True
Math_37,9,llama3,11,3,3,0,0,685,True
Closure_58,9,llama3,13,4,2,0,0,1026,False
Lang_22,9,llama3,11,3,3,0,0,1139,True
Math_60,9,llama3,9,2,2,0,0,925,False
Math_99,9,llama3,11,3,3,0,0,2012,True
Closure_19,9,llama3,11,3,2,0,0,789,False
Chart_19,9,llama3,17,6,6,0,0,1321,True
Math_21,9,llama3,11,3,3,0,0,221,False
Lang_18,9,llama3,9,2,2,0,0,1195,False
Closure_35,9,llama3,13,4,2,1,1,1108,False
Closure_62,9,llama3,11,3,3,0,0,839,False
Closure_9,9,llama3,11,3,3,0,0,1228,False
Closure_118,9,llama3,9,2,2,0,0,1859,False
Chart_23,9,llama3,9,2,2,0,0,290,False
Lang_59,9,llama3,15,5,1,3,3,539,False
Closure_74,9,llama3,15,5,3,0,0,781,False
Closure_23,9,llama3,13,4,3,0,0,613,False
Closure_22,9,llama3,9,2,2,0,0,1191,False
Closure_75,9,llama3,13,4,2,1,1,937,False
Time_3,9,llama3,23,9,6,2,1,728,True
Chart_22,9,llama3,25,10,2,3,3,585,False
Lang_58,9,llama3,11,3,3,0,0,480,False
Closure_8,9,llama3,11,3,3,0,0,785,False
Closure_119,9,llama3,11,3,2,0,0,887,False
Closure_34,9,llama3,15,5,3,0,0,927,False
Lang_19,9,llama3,11,3,3,0,0,1439,True
Chart_18,9,llama3,26,11,4,2,2,408,False
Lang_62,9,llama3,23,9,9,4,1,1507,True
Math_20,9,llama3,9,2,2,0,0,960,False
Closure_18,9,llama3,15,5,3,0,0,1273,False
Time_20,9,llama3,11,3,2,0,0,617,False
Lang_35,9,llama3,13,4,2,1,1,703,False
Math_98,9,llama3,15,5,5,0,0,932,True
Math_77,9,llama3,9,2,2,0,0,965,True
Lang_23,9,llama3,13,4,3,1,0,921,False
Math_61,9,llama3,11,3,2,0,0,879,True
Closure_123,9,llama3,13,4,4,1,1,1517,False
Closure_59,9,llama3,9,2,2,1,1,1091,False
Math_36,9,llama3,15,5,3,0,0,836,False
Chart_3,9,llama3,13,4,4,0,0,841,True
Math_41,9,llama3,9,2,2,0,0,590,False
Time_16,9,llama3,13,4,2,1,1,1035,False
Math_7,9,llama3,13,4,4,0,0,1310,False
Lang_1,9,llama3,11,3,3,0,0,527,False
Math_16,9,llama3,9,2,2,0,0,524,True
Lang_54,9,llama3,13,4,2,0,0,331,False
Closure_79,9,llama3,13,4,4,1,1,940,False
Closure_103,9,llama3,9,2,2,1,1,593,False
Lang_42,9,llama3,25,10,4,2,2,686,False
Math_102,9,llama3,11,3,2,0,0,860,True
Closure_4,9,llama3,13,4,3,0,0,1000,False
Closure_115,9,llama3,11,3,2,0,0,730,False
Math_57,9,llama3,11,3,3,0,0,1148,False
Lang_15,9,llama3,13,4,2,0,0,2374,True
Closure_38,9,llama3,19,7,5,1,1,987,False
Closure_43,9,llama3,11,3,3,2,2,804,False
Math_94,9,llama3,7,1,1,0,0,981,True
Closure_14,9,llama3,15,5,3,0,0,1267,False
Math_82,9,llama3,13,4,3,1,0,752,False
Closure_55,9,llama3,9,2,2,0,0,975,False
Math_31,9,llama3,11,3,3,0,0,1002,False
Closure_124,9,llama3,11,3,3,0,0,1316,True
Math_89,9,llama3,9,2,2,0,0,523,True
Math_66,9,llama3,9,2,2,0,0,1983,False
Lang_32,9,llama3,11,3,3,0,0,785,False
Math_70,9,llama3,11,3,2,0,0,827,False
Lang_65,9,llama3,9,2,2,0,0,1001,False
Math_27,9,llama3,19,7,7,2,2,1433,True
Closure_132,9,llama3,9,2,1,0,0,791,False
Closure_48,9,llama3,13,4,3,1,0,498,False
Closure_33,9,llama3,9,2,1,0,0,836,False
Lang_49,9,llama3,17,6,6,1,1,1526,True
Closure_64,9,llama3,11,3,3,0,0,1924,False
Chart_25,9,llama3,21,8,3,3,2,1320,False
Closure_72,9,llama3,13,4,2,1,1,1651,False
Time_4,9,llama3,11,3,3,0,0,1085,True
Closure_108,9,llama3,11,3,3,0,0,1459,False
Chart_8,9,llama3,19,7,3,2,0,871,True
Closure_25,9,llama3,11,3,3,2,2,816,False
Closure_128,9,llama3,13,4,3,0,0,584,False
Closure_52,9,llama3,15,5,5,2,0,621,False
Math_85,9,llama3,13,4,4,0,0,872,False
Lang_28,9,llama3,9,2,1,0,0,846,False
Closure_13,9,llama3,7,1,1,0,0,819,False
Math_93,9,llama3,9,2,2,0,0,666,False
Closure_44,9,llama3,17,6,6,1,1,1582,False
Chart_13,9,llama3,11,3,1,1,1,1202,False
Math_50,9,llama3,11,3,1,1,1,1050,False
Closure_68,9,llama3,11,3,3,0,0,748,True
Math_105,9,llama3,19,7,5,4,1,1901,True
Closure_3,9,llama3,15,5,4,1,1,1804,False
Closure_112,9,llama3,9,2,2,1,1,1159,False
Closure_87,9,llama3,11,3,2,0,0,847,False
Lang_45,9,llama3,13,4,4,0,0,930,True
Closure_91,9,llama3,11,3,3,0,0,867,False
Closure_104,9,llama3,13,4,4,1,0,1410,True
Time_8,9,llama3,11,3,3,0,0,770,True
Math_11,9,llama3,9,2,2,0,0,704,True
Lang_53,9,llama3,13,4,4,0,0,683,True
Time_11,9,llama3,11,3,3,0,0,1812,False
Closure_29,9,llama3,9,2,2,1,1,354,False
Lang_6,9,llama3,11,3,3,0,0,556,False
Math_46,9,llama3,17,6,5,1,0,535,False
Chart_4,9,llama3,7,1,1,0,0,796,False
Math_47,9,llama3,11,3,3,0,0,801,True
Time_10,9,llama3,21,8,2,4,4,655,False
Closure_28,9,llama3,11,3,2,0,0,252,False
Math_1,9,llama3,19,7,2,2,2,1001,True
Lang_7,9,llama3,11,3,3,0,0,431,False
Lang_52,9,llama3,23,9,5,3,3,698,False
Closure_90,9,llama3,11,3,2,0,0,1007,False
Closure_105,9,llama3,11,3,3,0,0,367,False
Time_9,9,llama3,11,3,3,0,0,801,True
Lang_44,9,llama3,11,3,2,0,0,449,False
Closure_69,9,llama3,15,5,3,1,1,585,False
Math_104,9,llama3,17,6,1,4,4,693,False
Closure_2,9,llama3,11,3,3,1,1,1287,False
Closure_113,9,llama3,13,4,3,0,0,717,False
Closure_86,9,llama3,11,3,3,2,2,1120,False
Lang_13,9,llama3,13,4,4,0,0,692,False
Chart_12,9,llama3,13,4,3,1,0,438,True
Math_92,9,llama3,11,3,2,0,0,1142,True
Closure_12,9,llama3,11,3,2,0,0,492,False
Math_84,9,llama3,11,3,3,0,0,905,False
Lang_29,9,llama3,11,3,3,0,0,1116,True
Closure_129,9,llama3,9,2,2,1,1,545,False
Closure_53,9,llama3,9,2,2,0,0,1621,False
Closure_24,9,llama3,9,2,2,0,0,1018,False
Chart_9,9,llama3,21,8,2,0,0,478,True
Closure_73,9,llama3,11,3,2,0,0,551,False
Time_5,9,llama3,15,5,2,2,2,658,False
Closure_109,9,llama3,11,3,3,0,0,1651,False
Chart_24,9,llama3,17,6,5,0,0,894,True
Closure_65,9,llama3,11,3,3,0,0,733,False
Lang_48,9,llama3,7,1,1,0,0,657,True
Closure_32,9,llama3,13,4,2,1,1,616,False
Closure_133,9,llama3,11,3,3,0,0,884,False
Closure_49,9,llama3,11,3,2,1,0,1078,False
Lang_64,9,llama3,13,4,4,1,0,1131,True
Time_26,9,llama3,11,3,3,0,0,790,False
Lang_33,9,llama3,9,2,2,0,0,611,True
Math_71,9,llama3,13,4,4,0,0,787,False
Lang_25,9,llama3,15,5,2,1,1,1197,False
Math_88,9,llama3,17,6,5,1,0,1092,False
Math_67,9,llama3,13,4,3,1,0,971,False
Closure_125,9,llama3,11,3,1,1,1,999,False
Math_30,9,llama3,9,2,2,0,0,496,False
Lang_8,9,llama3,15,5,5,2,0,1559,False
Closure_27,9,llama3,13,4,4,0,0,383,True
Math_48,9,llama3,13,4,4,0,0,1262,True
Time_6,9,llama3,13,4,4,0,0,1034,True
Closure_70,9,llama3,11,3,3,0,0,917,False
Closure_89,9,llama3,9,2,1,0,0,548,False
Closure_66,9,llama3,11,3,3,2,2,954,False
Closure_31,9,llama3,11,3,3,0,0,1266,False
Closure_130,9,llama3,13,4,3,1,1,781,False
Math_25,9,llama3,15,5,5,1,0,1051,False
Time_25,9,llama3,15,5,1,3,3,363,False
Math_72,9,llama3,13,4,2,1,1,774,True
