split,bug_id,run_id,model,total_messages,function_calls,valid_function_calls,function_repetitions,function_and_args_repetitions,content_length,success,is_vulnerable
valid,1465,0,mistral,13,12,8,0,0,-1,False,False
valid,1035,0,mistral,15,14,13,8,8,-1,False,True
valid,2249,0,mistral,11,10,8,1,0,-1,False,False
valid,559,0,mistral,5,4,0,0,0,-1,False,False
valid,2619,0,mistral,10,9,8,1,0,-1,True,True
valid,1936,0,mistral,5,4,1,0,0,-1,False,False
valid,109,0,mistral,11,10,9,2,1,-1,False,False
valid,1873,0,mistral,15,14,12,5,4,-1,True,False
valid,1520,0,mistral,15,14,15,11,11,-1,False,True
valid,1170,0,mistral,10,9,9,0,0,-1,True,True
valid,365,0,mistral,15,14,8,6,6,-1,True,False
valid,2475,0,mistral,15,14,9,2,1,-1,True,False
valid,735,0,mistral,10,9,8,1,0,-1,False,False
valid,2025,0,mistral,13,12,11,3,2,-1,True,True
valid,1259,0,mistral,15,14,12,7,7,-1,True,False
valid,1609,0,mistral,14,13,12,3,2,-1,False,False
valid,2530,0,mistral,15,14,15,10,10,-1,False,True
valid,220,0,mistral,15,14,13,9,9,-1,True,False
valid,2160,0,mistral,15,14,15,11,10,-1,False,True
valid,670,0,mistral,15,14,15,5,3,-1,False,True
valid,1961,0,mistral,8,7,1,0,0,-1,True,True
valid,1598,0,mistral,10,9,0,0,0,-1,False,False
valid,1062,0,mistral,13,12,9,2,1,-1,True,True
valid,68,0,mistral,10,9,8,1,0,-1,True,True
valid,1432,0,mistral,15,14,10,2,1,-1,True,False
valid,1127,0,mistral,11,10,8,3,0,-1,False,False
valid,918,0,mistral,15,14,15,7,7,-1,True,False
valid,87,0,mistral,13,12,11,2,1,-1,False,False
valid,1577,0,mistral,15,14,12,4,4,-1,True,False
valid,1824,0,mistral,10,9,8,1,0,-1,False,False
valid,298,0,mistral,15,14,15,9,9,-1,False,True
valid,2072,0,mistral,15,14,14,7,7,-1,False,True
valid,2588,0,mistral,6,5,4,0,0,-1,True,True
valid,762,0,mistral,15,14,13,5,5,-1,False,True
valid,2422,0,mistral,15,14,15,5,5,-1,False,True
valid,332,0,mistral,15,14,9,1,0,-1,True,False
valid,627,0,mistral,15,14,15,7,7,-1,True,False
valid,2137,0,mistral,14,13,9,0,0,-1,True,True
valid,277,0,mistral,13,12,8,4,3,-1,True,True
valid,2567,0,mistral,15,14,15,7,7,-1,True,False
valid,1424,0,mistral,15,14,10,1,1,-1,True,False
valid,1074,0,mistral,15,14,15,8,8,-1,False,True
valid,1,0,mistral,15,14,15,11,11,-1,False,True
valid,2208,0,mistral,14,13,8,1,1,-1,True,True
valid,518,0,mistral,15,14,14,6,6,-1,True,False
valid,1977,0,mistral,8,7,1,0,0,-1,True,True
valid,2658,0,mistral,15,14,15,10,10,-1,True,False
valid,148,0,mistral,6,5,4,1,1,-1,True,True
valid,1998,0,mistral,15,14,15,7,7,-1,False,True
valid,1832,0,mistral,12,11,9,0,0,-1,True,True
valid,1561,0,mistral,14,13,11,2,0,-1,False,False
valid,91,0,mistral,15,14,13,8,8,-1,False,True
valid,1131,0,mistral,15,14,15,8,8,-1,False,True
valid,324,0,mistral,15,14,13,4,2,-1,True,False
valid,2434,0,mistral,15,14,15,8,7,-1,False,True
valid,774,0,mistral,10,9,9,0,0,-1,False,False
valid,2064,0,mistral,12,11,10,1,1,-1,True,True
valid,1218,0,mistral,15,14,15,9,3,-1,False,True
valid,1648,0,mistral,15,14,11,4,3,-1,True,False
valid,2571,0,mistral,15,14,15,11,11,-1,False,True
valid,261,0,mistral,15,14,10,5,5,-1,True,False
valid,2121,0,mistral,15,14,15,10,10,-1,True,False
valid,631,0,mistral,11,10,8,1,0,-1,True,True
valid,1920,0,mistral,15,14,11,1,0,-1,False,True
valid,1023,0,mistral,15,14,3,0,0,-1,True,False
valid,1189,0,mistral,8,7,6,2,0,-1,False,False
valid,1473,0,mistral,6,5,5,1,0,-1,False,False
valid,29,0,mistral,6,5,5,1,0,-1,False,False
valid,1166,0,mistral,12,11,10,3,1,-1,False,False
valid,959,0,mistral,15,14,15,11,11,-1,True,False
valid,1536,0,mistral,15,14,14,10,9,-1,True,False
